,input_ba,true_en,pred_en
422,ninnava noodi appara jaenna aipta,i havent seen you for many days,your eyes are so big
423,ninnava ha akka korchiya,that sister is calling you,did you call me
424,e paappa appara sooka edhavae,this baby girl is so beautiful,this little girl is so beautiful
425,nee dhara hennu,whose daughter are you,you are a good guy
426,nanga hatti ya na tha singa,im the lion of our village,where did you go
427,nee aeka esaga koopa thogae edhdhae,why are you so angry,why are you so angry
428,na tha raja elliya,im the king here,i wont do anything
429,nee thindhubutaya,did you eat,did you eat
430,nadatharava aenthu nooduva,lets see what is going to happen,tell me a story
431,ha bandi aesu maniga banthara,at what time that vechile comes,how much money will be left for the festival
432,elli osi jaama nillu,stand here for some time,we will go to my house
433,na ondhu osa kamisu esithae,i buyed a new shirt,i havent seen you
434,nee appara oliya koosu aemba,you are very good guy it seems,you are so good guy
435,endhdhu aena jaenna,today which day,what is todays day
436,baputhu mudatharava,can you come,dont come here
437,e bandi alliga oora,where this vechile goes,this band is so big
438,manakana baruthu budu,write fast,wash the clothes
439,nanga evaka hatti habba ga oopa,we will go to their village festival,come lets go to village festival
440,aennaga ondhu mutha tha,give me a kiss,i dont have any
441,ae nadigar ninnaga appara edathara,which actor do you like the most,how is your fathers name
442,neeyu ollenge nadachathu,you should also act well,you should learn more
443,elliya gandu kunnavae battae mattu tha attra,here there is only dresses for boys,there is a lot of water in this river
444,ha kadaya orukuthu othina tharuthu butara,that shop will open early in the morning,we should have done some homework
445,hamana sarae appara hana hadathae,he has so much money,he has two daughters
446,bartha kuu tha aennaga edathara,i like fried rice,i like fried rice
447,dhomba balae aesaga,what is the price for tomatto,what is the price for this
448,edhuna tha essu jaama noodithae,i have watched the same thing for so long time,this is how we should look after this
449,na ondhu paatu baruthuthae,i have written one song,i have written seven songs
450,baanu sooka hadathae endhdhu,sky is so good today,today it is raining
451,maranae tha na hatti ga odhae,day before yesterday i went to school,day before yesterday i went to school
452,ninna sambuva aella va berikiptaya,did you spend your whole salary completely,your brother will come here
453,aennaga ei thinguva sambuva ennu hakulae,this month salary is not yet credited for me,i wont do anything for you
454,e paata kaethara appara santhoshava hadathae,i feel happy while listening to this song,this baby girl is so cute
455,endhdhu odambu aella bayangarava urchira,today my whole body is paining,my back pain is paining today
456,baerae dhari ondhu ellaya,is there any other way,dont have any other way
457,naaiga osa kamisu ekinae,tomorrow i will wear a new shirt,tomorrow i will wear a new shirt
458,maanu appara hanjira,deer fears a lot,dont drink milk
459,na aeka aenthu hariyarae,i dont know why,i dont know how to speak
460,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,i only have this one like that,i have eighty one rupees
461,kanna muchilae orruku banthara aennaga,i fell sleepy while i close my eyes,i have a cold cold in my home
462,ei koosu thanna iyya na maakae edhdhanae noodu,this kid looks like his grandfather,this boy is so cute
463,nee manakana ondhu sambuvaga saeru,get a job soon,you should buy a new shirt
464,hama na kastava na harathae,i know his suffering,he is not a good guy
465,na hamana pathi aellava harathae,i know everything about him,i know him
466,orrukuthu aena thindhae,what did you have for breakfast,what did you do yesterday
467,aennaga aena dhukka,i have nothing to worry about,what do you like
468,hadutha vaara bannae,next week i will come,wait for the next day
469,hullathi enna amma na hatti,hullathi is my mothers village,hullathi is my village
470,na osi havakava tha harathae aenga hatti ya,i know only few peoples in my village,i have two crore in my village
471,ei kamisu aechuthu ellae aennaga,this shirt is too small for me,this shirt is too small for me
472,hama ondhu sombaeri,he is lazy guy,he is so good
473,mannae aeguva kichu ottiyara,when is the house warming function,when is the house warming function
474,kadaisi parachae aeguva,when is the last exam,tell me a story
475,na hadatha varusa osa mannae esinae,next year i am going to buy a house,i have four hundred and two rupees
476,aenna maejoodu kaenae thava,my socks is missing,my clothes are not so good
477,ninna maejoodu halamaari ogasu hadathae noodu,your socks is in the cupboard,you have to watch serials
478,kannuga dhusi budhu butta,dust went inside my eyes,i have a tooth
479,gaai appara beesira,too much wind is blowing,this is too small
480,ninna bandi hattnae ya hadathaya,is your vechile is in ground,you have a hat in your house
481,sunji nool hadathaya ninna sarae,do you have needle and thread,do you have a ring
482,elliga ba,come here,come here
483,orruku ollenge banthutha,did you sleep well,did you sleep well
484,gelcha maadulae,i didnt do the work,work is not working
485,gelcha maadirae seri,it would be good if you work,work is not good
486,manae ga ogaka,we can go home,come here
487,na hamana noodinae,i am going to see him,i will look at him
488,nee amana nooda beda,you dont see him,do you see him
489,hanjathae eru,dont be scared,keep this tab clean
490,hanjikae bantharava,are you scared,do you have a sleeve
491,hanjilae ondhu maaduthu mudiya,you cant do anything if you are scared,dont do anything
492,mussiya noodu,look at your face,look at the dress
493,elliga kandipa banthu budu,you should definetely come here,come here for some time
494,odha varusa aena maadithae,what did you do last year,what did you do this year
495,endhdhu sani jaenna,today is saturday,today is saturday
496,aenga banthu buttayu,we came,we should go to school
497,emma banthubutta,he came,he is a banthubutta
498,dhara bapilae,who did not come,i will come
499,dhaaru bapilae,nobody came,dont come here
500,na ninna korchinae,i will call you,i havent seen you
501,battae oguputhu,i should wash my clothes,wash the clothes
502,batlu thogibudu,wash the plate,wash the clothes
503,aennava nenachithiya,did you think of me,did you call me
504,ninnava nenachulae,i didnt think of you,do you like cats
505,kuu thinnae,i can eat rice,i ate rice
506,kuu thimbuthu ellae,i wont eat rice,i dont have a cup
507,kuu ellae,i dont have rice,i dont have rice
508,saendu ellae,i dont have ball,i dont have any
509,battae hadathaya,do you have dress,do you have a sleeve
510,naaiga nalaba,tomorrow we will play,tomorrow we will play
511,naaiga bodhavaara jaenna,tomorrow is wednesday,tomorrow is saturday
512,naaiga olleya jaenna,tomorrow is a good day,tomorrow is saturday
513,endhdhu aenna utti jaenna,today is my birthday,today is my birthday
514,maranae aenna utti jaenna,day before yesterday is my birthday,day before yesterday is my birthday
515,kappu banna ollenge attra,black color will be so nice,i will play with you
516,harchina banna sooka attra,yellow color will be so nice,red color will be so nice
517,aenna sarae aeradu uripi hadathae,i have two rupees,i have two rupees
518,aenna sarae naaku uripi hadathae,i have four rupees,i have four rupees
519,aenna sarae haivathu uripi hadathae,i have fifty rupees,i have fifty rupees
520,aenna sarae eambathu uripi hadathae,i have eighty rupees,i have eighty rupees
521,aenna sarae erranooru uripi hadathae,i have two hundred rupees,i have four hundred rupees
522,aenna sarae munoora ondhu uripi hadathae,i have three hundred and one rupees,i have four hundred and one rupees
523,aenna sarae mooru savvira uripi hadathae,i have three thousand rupees,i have three thousand rupees
524,aenna sarae ezzhu saavira uripi hadathae,i have seven thousand rupees,i have seven thousand rupees
525,aenna sarae naaku lacha hadathae,i have four lakhs,i have four lakhs
526,aenna sarae naaku koodi hadathae,i have four crore,i have four crore
527,aenna sarae moovathi ondhu uripi hadathae,i have thirty one rupees,i have sixty one rupees
528,aenna sarae moovathi haithu uripi hadathae,i have thirty five rupees,i have sixty six rupees
529,aenna sarae nalvathi ondhu uripi hadathae,i have fourty one rupees,i have fourty one rupees
530,aenna sarae nalavathi ezzhu uripi hadathae,i have fourty seven rupees,i have fourty seven rupees
531,aenna sarae haivathi ondhu uripi hadathae,i have fifty one rupees,i have fifty one rupees
532,aenna sarae haivathi mooru uripi hadathae,i have fifty three rupees,i have fifty three rupees
533,aenna sarae haivathi haithu uripi hadathae,i have fifty five rupees,i have fifty five rupees
534,aenna sarae haravathi ondhu uripi hadathae,i have sixty one rupees,i have sixty one rupees
535,aenna sarae thombathi eattu uripi hadathae,i have ninty eight rupees,i have ninty eight rupees
536,aenna sarae eranoora ondhu uripi hadathae,i have two hundred and one rupees,i have two hundred and one rupees
537,aenna sarae eranoora ezzhu uripi hadathae,i have two hundred and seven rupees,i have two hundred and seven rupees
538,aenna sarae munoora naaku uripi hadathae,i have three hundred and four rupees,i have four hundred and four rupees
539,aenna sarae munoora haithu uripi hadathae,i have three hundred and five rupees,i have five hundred and five rupees
540,aenna sarae munoora ezzhu uripi hadathae,i have three hundred and seven rupees,i have four hundred and seven rupees
541,aenna sarae nanoora ombathu uripi hadathae,i have four hundred and nine rupees,i have four hundred and nine rupees
542,aenna sarae hainoora mooru uripi hadathae,i have five hundred and three rupees,i have six hundred and three rupees
543,aenna sarae hainoora naaku uripi hadathae,i have five hundred and four rupees,i have six hundred and four rupees
544,aenna sarae hainoora ezzhu uripi hadathae,i have five hundred and seven rupees,i have six hundred and seven rupees
545,aenna sarae ezzhnoora aeradu uripi hadathae,i have seven hundred and two rupees,i have seven hundred and two rupees
546,aenna sarae eatnoora eattu uripi hadathae,i have eight hundred and eight rupees,i have eight hundred and eight rupees
547,aenna sarae ombainoora ondhu uripi hadathae,i have nine hundred and one rupees,i have nine hundred and one rupees
548,aenna sarae ombainoora aeradu uripi hadathae,i have nine hundred and two rupees,i have nine hundred and two rupees
549,aenna sarae ombainoora haaru uripi hadathae,i have nine hundred and six rupees,i have nine hundred and six rupees
550,aenna sarae saavirtha ezzhu uripi hadathae,i have thousand and seven rupees,i have thousand and fifty seven rupees
551,aenna sarae saavirtha ombathu uripi hadathae,i have thousand and nine rupees,i have thousand and twenty nine rupees
552,aenna sarae saavirtha eppathi eattu uripi hadathae,i have thousand and twenty eight rupees,i have thousand and twenty eight rupees
553,aenna sarae saavirtha nalavathi mooru uripi hadathae,i have thousand and fourty three rupees,i have thousand and fourty three rupees
554,aenna sarae saavirtha nalavathi eattu uripi hadathae,i have thousand and fourty eight rupees,i have thousand and fourty eight rupees
555,aenna sarae saavirtha haivathi haithu uripi hadathae,i have thousand and fifty five rupees,i have thousand and fifty five rupees
556,aenna sarae saavirtha haivathi haaru uripi hadathae,i have thousand and fifty six rupees,i have thousand and fifty six rupees
557,aenna sarae saavirtha eambathi ezzhu uripi hadathae,i have thousand and eighty seven rupees,i have thousand and eighty seven rupees
558,aenna sarae saavirtha thombathi aeradu uripi hadathae,i have thousand and ninty two rupees,i have thousand and ninty two rupees
559,aenna sarae saavirtha thombathi eattu uripi hadathae,i have thousand and ninty eight rupees,i have thousand and ninty eight rupees
560,haalu kudathara,did you drink milk,drink milk
561,haalu kudathariya,do you want to drink milk,dont give me milk
562,haalu attrava,do you have milk,do you have milk
563,haalu aennaga ediya,i dont like milk,do you like milk
564,ninnaga haalu edatharava,do you like milk,you should not drink milk
565,majigae ellae ya,do you have curd,dont come here
566,ema ga aena baeku,what does she want,what does he want
567,hamaga ondhu baeda,he doesnt want anything,dont talk
568,edhuna na nooduthu ellae,i wont look this,this is a little boring
569,edhuna na noodavae ellae,i havent looked at this,i dont look at this
570,adhuna noodu,look at that,look at the face
571,adhuna na nooduthu ellae,i wont look that,i wont look at this
572,emana nooda baeda,dont look at him,dont look at him
573,havana noodavae baeda,dont ever look at her,dont look at her
574,aena maaduthuga oorae,what you are going to do,what did you do this year
575,maaduthuga appara hadathae,there is a lot of things to do,there is a lot of room for this
576,ei halla na dhesaga neeru tha hadathae,there is less water in this river,there is a lot of water in this river
577,ei halla thumba neeru hadathae,there is full of water in this river,there is a lot of water in this river
578,ei halla na meenu hadathae,there are fiches in this river,there is a lot of water in this river
579,ei halla na vaathu hadathae,there are ducks in this river,there is a lot of water in this river
580,edhuga aena karana,what was the reason for this,what is your birthday
581,nee tha edhuga karaenna,you are the reason for this,you are my grandmother
582,nambithigae emmana,you dont beleive him,he is good guy
583,emma aemaathu guli,he is a cheater,he is a good guy
584,baputhu mudiyati aegi budivi,tell me if you dont want to come,give me some water to drink
585,edhu appara kunna dhevigae,this lamp is very small,this ring is so big
586,aenna sarae aeradu kothi hadathae,we have two cats,i have two crore
587,habba maaduthu ellae,they are not celebrating festival,dont make it too hard
588,maranae aennaga aeradu parchae hattuthu,day before yesterday i had two exams,i have to work hard to work
589,na aeradu osa kamisu esinae,i will buy two new shirts,i will buy this for you
590,pachai banna sooka attra,green color will be so good,brown color will be so nice
591,mannu koda nalaya baeda,dont play with mud,dont look at him
592,kathiri kool hadathaya,do you have scissors,do you have a sleeve
593,nanga nalaba va,shall we play,will we play
594,ei muruku ollenge hadathae,this chips is very nice,this ring is so big
595,aeka ei varsha habba maaduthu ellae,why this year the festival is cancelled,why are you so angry
596,aenna sarae ezzhnoora mooru uripi hadathae,i have seven hundred and three rupees,i have eight hundred and three rupees
597,edhuna aena aenthu korchiyara,what do they call it,what do you like
598,na haaru pada noodithae,i have written six songs,i will look at you soon
599,naaiga aena madirae nee,tomorrow what will you do,what will you do next year
600,aenna sarae eppathi ondhu uripi hadathae,i have twenty one rupees,i have twenty one rupees
601,nee edhuna muyarchi maadi nooduthu,you should try this and see,you should look at this
602,aenna sarae eranoora ombathu uripi hadathae,i have two hundred and nine rupees,i have two hundred and nine rupees
603,aenna sarae saavirtha aeradu uripi hadathae,i have thousand and two rupees,i have thousand and twenty two rupees
604,emma appara lollu maadinae,he troubles us too much,he is so lazy
605,na ninnava appara theruku noodithae,i have seen you many times,i have seen you the most
606,edhu ninga nae ya,is this your dog,how are you
607,kannadi palichunthu hadathae,mirror is too clean,there are many things to do
608,battae oguthu budu,wash the clothes,wash the clothes
609,hullathi hatti appara sooka attra,hullathi village will be good,the hullathi hatti is so beautiful
610,hama appara paappa,he is so pitty,he is so good
611,aenna sarae nalavathu uripi hadathae,i have fourty rupees,i have fourty rupees
612,santhu harae appara kathalae aipra,night time it will become so dark,i dont have any other way
613,aenga sarae dhana hadathae,we have a cow,we have two cow
614,aenna sarae haarnoora mooru uripi hadathae,i have six hundred and three rupees,i have six hundred and three rupees
615,ninga hesaru aena,what is your name,what is your name
616,aena maadinthae nee ega,what are you doing now,what did you do this year
617,santhu ettu aena,what is the dinner,what is the meal
618,ei anna ga aerudu madhuvae haipta,this brother married two times,this is my job
619,odha thinguva aena maadithae,what did you do last month,what did you do last month
620,baputhu mudiyati aegi budivi,tell me if you dont want to come,give me some water to drink
621,ninnaga na kandipa esi thannae,i will definetely buy this for you,you can do this for you
622,aennava dhara korchithuru,who called me,i have two lakhs
623,ninga mannae appara kunnuthu,your house is too small,your house is so small
624,ondhu kadhae aegu,tell me a story,tell me some things
625,aenna maejoodu kaenae thava,my socks is missing,my clothes are not so good
626,aenna sarae eppathu uripi hadathae,i have twenty rupees,i have twenty rupees
627,dhomba balae aesaga,what is the price for tomatto,what is the price for this
628,nee aesavathu katharae,which standard are you studying,what is your name
629,ei haspithiri aelliya hadathae,where is this hospital located,this hospital is so big
630,bandi manakana bantharae sari,bus should come fast,come fast to bus stop
631,nanga tha edhu aellava aegi kodathu,we should teach them all this,we should teach them all this
632,hattnae ga ba nalaba,come to the ground we will play,come lets play
633,badaga palaya paatu aella ennu sooka attra,badaga old songs will be too good,badaga i cant sleep like a dog
634,haalu jaennagu kuduputhu,we should drink milk daily,drink water daily
635,aenna sarae hathu lacha hadathae,i have ten lakhs,i have ten lakhs
636,battae ya keeru,tear the dress,wash the clothes
637,elliya appara vaasaenae banthara,here it smells very bad,there is a lot of water in this river
638,orruku ollenge banthutha,did you sleep well,did you sleep well
639,nee ollenge kaputhu,you should study well,you should give me some water
640,ei kaagitha appara mukkiya,this paper is so important,this shirt is so big
641,aenna sarae thombathi ondhu uripi hadathae,i have ninty one rupees,i have ninty one rupees
642,aeguvavu negathu baasae haadu,we should always smile while talking,dont come here
643,aenna anna na sarae ondhu nae hadathae,my brother has one dog,i have one crore
644,nee aennava aeka korchulae,why didnt you call me,you are not good friends
645,ondhu olliya hesaru aegu,tell me one good name,tell me some things
646,santhoshava ebbuthuga olli manasu attrae podhu,you need a good heart to be happy,this is a good job
647,ninga hatti appara thoda hatti ya,is your village is a big,your village is so beautiful
648,aena maaduthu ega,what to do now,what will we do next year
649,nee aethae edhdhae,how are you,how are you
650,aennaga sambuva aella ondhu ellae,i dont have any salary,i dont have any other things
651,na ninnava aethae gaena buttanae,how would i forgot you,i havent seen you
652,aeguva banthae nee,when did you come,you are so angry
653,mae oodharava,is it raining,do you have a slew of water
654,kathiri kool athi ba,bring the scissors,bring your hands
655,nee hamana ariyarae maka,i think you dont know him,you dont know him
656,na baekara hamana sarae kaethanae,i can ask him,i will speak to you
657,hamaga ondhu baeda,he doesnt want anything,dont talk
658,sunji nool athi ba,bring the needle and thread,come lets go
659,aenga sarae ondhu kappu dhana hadathae,we have one black cow,we have one cow
660,egavae appara jaama aipta thava,already its too late,this is so bad
661,havaka banthu buttru,they came,they came
662,ninga hatti ya endhdhu habba va,today is your village festival,you are here in a village
663,naaiga gelcha hadathaya,do you have work tommorrow,tomorrow is tomorrow
664,bandi aethu aelliyachi oppa,take the vechile we will go somewhere,do you have a ring
665,appara thimuru maada baeda,dont do naughty things,dont look at me
666,aena maadirae,what are you doing,what are you doing
667,evaka olliyavaka,they are good peoples,they are good friends
668,kuu ellae,i dont have rice,i dont have rice
669,dhaaru baputhu ellae,nobody is coming,dont come here
670,jaama aipta manakana manaega ogu,its time go home quickly,come lets go to the house
671,naaiga bodhavaara jaenna,tomorrow is wednesday,tomorrow is saturday
672,aenna sarae saavirtha haravathi haaru uripi hadathae,i have thousand and sixty six rupees,i have thousand and sixty six rupees
673,buruvae oodha kudathu,dont learn for blindly,give me some water to drink
674,hanjathae eru,dont be scared,keep this tab clean
675,hama onnava,will he go,he is not a good guy
676,haramichibutaya nee thiriki,you started again,do you know me
677,aenna sarae haravathi mooru uripi hadathae,i have sixty three rupees,i have sixty three rupees
678,gelcha maadinae,i should work,work is not good
679,aenna sarae eambathi aeradu uripi hadathae,i have eighty two rupees,i have eighty two rupees
680,ei muruku ollenge hadathae,this chips is very nice,this ring is so big
681,eni maellae ethae maka maadirae hasagatha nee,dont repeat this ever again,why are you so angry
682,emmana maakae koosu dharu ellae,nobody is good as him,he is not a good guy
683,hanjikae bantharava,are you scared,do you have a sleeve
684,osa mettu ondhu esothu,need to buy a new slippers,we can buy a new shirt
685,aeka ethae aegirae,why are you telling like this,how are you
686,edhuga maelae na ondhu aegarae,i wont tell anything,i dont know how to do this
687,ema appara hollatha baasae hadina,he use a lot of blame words while speaking,he is a good guy
688,emaga simbu tha edathara,he likes simbu,he is a good guy
689,manapaada maada beda,dont mug it up,dont go to school
690,na ninnaga adhuna kaeginae,i will send you that one,i will come here for some time
691,na hadatha varusa ondhu bandi esinae,next year i am going to buy a vechile,i have one bandi in my village
692,na siti kasta thogae edhae,i having liitle trouble,i know you
693,aenga banthu buttayu,we came,we should go to school
694,ei varusa aena maadithae,what did you do this year,what did you do this year
695,nee bandha maada beda,you dont show off,you dont have any other songs
696,gaasu keesu,peel the potato,wash the clothes
697,ninga hesaru aena,what is your name,what is your name
698,e bandi alliga oora,where this vechile goes,this band is so big
699,na ninnaga saapa hakinae,i curse you,i will buy a new bottle
700,na ninna appaenna harathae,i know your father,i know you
701,aennaga rajini tha edathara,i like rajini,i like rajini
702,ninnaga edatha ettu aena,what is your favourite food,what is your name
703,nudiya baeda hamana,dont scold him,dont talk to him
704,ninna sarae oi na aegithae noodu,i regret telling you,your brother is your brother
705,aedho ondhu maadu,do something,how is the day before today
706,kai urchathu ellae,my hand is not paining,i dont have a cup
707,ninnaga aena nalavata appara edathara,which game you like the most,what do you like the most
708,emma paravalae siti nalathana,he is an average player,he is a good guy
709,endhdhu jaenna pura na oodhinae,im going to study this whole day,today i will watch serials
710,manaeya meenu maadiyara,they are cooking fish at home,do you have a job
711,aennaga kaarikae banthangae hadathae,i feel like vomitting,i have two hundred and seven rupees
712,aenna kannadiya noodithiya,did you see my spectacles,did you see my eyes
713,eekadae hadathae,this side it is there,there is a lot of water
714,appara jaama haipta,its too late,this is too late
715,orukuthu ettu aena,what is the breakfast,what is the breakfast
716,pakka dhara edhdharae,who is there near you,whose father are you
717,hagulu hasuga aena maditha,what did you prepare for lunch,what is the lunch
718,bannae eru,wait i will come,come lets go
719,na ondhu osa kamisu esithae,i buyed a new shirt,i havent seen you
720,gaai jaasthi endhdhu,today it is so windy,today is thursday
721,nennae ollenge orugulae,yesterday i didnt sleep well,yesterday i was too tired
722,pada appara asundu,film was so boring,the house is too big
723,edhu ninna kai na tha hadathae,this is in your hands,there is a lot of water in this river
724,enu na ninaga aesaga hana thaputhu,how much money should i give you,what is your name for this
725,e koosu appara baevara,this boy is so brilliant,this boy is so good
726,emaga simbu tha edathara,he likes simbu,he is a good guy
727,emma ollenge nadichina,he acts very well,he is a good guy
728,emma bayangarava nalathana,he plays very good,he is a good guy
729,aenna amma na nee noodithiya,did you see my mother,did you see my mother
730,aenna amme ya nee noodithiya,did you see my sister,did you see my brother
731,na tharuvavu noodulae,i havent seen anyone,i have seen you for some time
732,ei kadai alliya hadathae,wher is this shop located,this is a small house
733,kanduga thinna baeda,dont eat too much,dont eat too much
734,nee aeka soogava edhae,why are so sad,why are you so angry
735,bartha kuu ollenge attra,fried rice will be so good,drink some water
736,mottae udhaka appara sooka attra,egg gravy will be so nice,this baby girl is so cute
737,na aenna appa aeguva koosa tha madhuvae maadinae,i will maary whoever my father tolds me to marry,i will tell you how to tell me
738,dhosi jaenna eru,wait for some days,wait for some time
739,thaputhu ellae,i wont give,i dont have milk
740,nee aellaga mariyathae kodathu,you should respect everyone,you should always speak to anyone
741,edhuna beero ogasu be,keep this inside the cupboard,this is a good beer
742,endhdhu bara,today the sky is clear,today we will meet
743,baanu thumba neellae banna endhdhu,sky is full of blue today,today i will come early
744,appara baara va thooka baeda,dont carry too much weight,dont shake your head
745,emmaga dhesaga kaapi kodu,give him some coffee,he is a good guy
746,baerae dhari ondhu ellaya,is there any other way,dont have any other way
747,endhdhu odambu aella bayangarava urchira,today my whole body is paining,my back pain is paining today
748,ei gelcha manakana berikirae manaega manakana oogaku,if i complete this job early i can go home early,you can come early for some time
749,santhu thimbuthuga aena esathu,what to buy for dinner,what to do
750,kaadu thogae ulli hadathae,tiger is there in the forest,there are a lot of water in this river
751,karadi appara kappa attra,bear will be so black in color,i like a tiger
752,aenna haethae tha nadangae noodiya,my grandmother will watch serials,did you see my sister
753,habba jaenna avarai udhaka tha maadiyara,during festivals they used to make beans gravy,i dont know how to do this
754,na hamana pathi aellava harathae,i know everything about him,i know him
755,hullathi hatti appara sooka attra,hullathi village will be good,the hullathi hatti is so beautiful
756,hullathi ondhu kunna hatti,hullathi is a small village,hullathi is a small village
757,ninna vayasu kunnavae aesaga edhdharae,how many kids are there in your age,what is your father doing
758,ninnaga edatha ettu aena,what is your favourite food,what is your name
759,emma siti vishaesha,he is mad,he is not good at it
760,aenna sarae sillarae ellae ninna sarae attrae kodu,i dont have change if you have change you give him,i dont know how to speak
761,ennu aerudu vaara tha hadathae parachae ga,two weeks are left for the exam,i have four lakhs
762,ei varusa berugathuga ennu ondhu thinguva tha hadathae,one month left for next year,there is a lot of water in this river
763,ei varusa berugathuga ennu mooru thinguva tha hadathae,three nonths are left for next year,this is a good job
764,na hadatha varusa baerae gelcha ga onnae,i will go to another job next year,i will go to the village for some work
765,na hadatha varusa osa mannae esinae,next year i am going to buy a house,i have four hundred and two rupees
766,ninna maejoodu halamaari ogasu hadathae noodu,your socks is in the cupboard,you have to watch serials
767,ei bala paetti appara dhoduthu,this cupboard is so big,this table is so big
768,gaai appara beesira,too much wind is blowing,this is too small
769,hattnae ga ba nalaba,come to the ground we will play,come lets play
770,saendu maada va,shall me do a ball,will you come
771,edhuga maellae nalubuthu mudiya,we cant play here after,this is not a good thing
772,edhuga maellae na naliyarae,i cant play here after,i wont give you a job
773,naaiga aenna utti jaenna,tomorrow is my birthday,tomorrow is my birthday
774,maranae aenna utti jaenna,day before yesterday is my birthday,day before yesterday is my birthday
775,mangavaara aenna utti janna,tuesday is my birthday,i wont come
776,bodhavaara aenna utti jaenna,wednesday is my birthday,yesterday is my birthday
777,haadhivaara aenna utti jaenna,sunday is my birthday,day before yesterday is my birthday
778,neela banna sooka attra,blue color will be so nice,you look beautiful
779,aenna sarae naaku uripi hadathae,i have four rupees,i have four rupees
780,aenna sarae ombathu uripi hadathae,i have nine rupees,i have nine rupees
781,aenna sarae haravathu uripi hadathae,i have sixty rupees,i have sixty rupees
782,aenna sarae aerudu saavira uripi hadathae,i have two thousand rupees,i have two thousand rupees
783,aenna sarae naaku saavira uripi hadathae,i have four thousand rupees,i have four hundred and four rupees
784,aenna sarae hathu koodi hadathae,i have ten crore,i have ten crore
785,aenna sarae eppathi mooru uripi hadathae,i have twenty three rupees,i have twenty three rupees
786,aenna sarae eppathi haithu uripi hadathae,i have twenty five rupees,i have twenty five rupees
787,aenna sarae eambathi ondhu uripi hadathae,i have eighty one rupees,i have eighty one rupees
788,aenna sarae eambathi mooru uripi hadathae,i have eighty three rupees,i have eighty three rupees
789,aenna sarae eambathi haithu uripi hadathae,i have eighty five rupees,i have eighty five rupees
790,aenna sarae eambathi ombathu uripi hadathae,i have eighty nine rupees,i have eighty nine rupees
791,aenna sarae thombathi haithu uripi hadathae,i have ninty five rupees,i have ninty five rupees
792,aenna sarae thombathi ezzhu uripi hadathae,i have ninty seven rupees,i have ninty seven rupees
793,aenna sarae noora eattu uripi hadathae,i have hundred and eight rupees,i have hundred and eight rupees
794,aenna sarae eranoora naaku uripi hadathae,i have two hundred and four rupees,i have two hundred and four rupees
795,aenna sarae eranoora haithu uripi hadathae,i have two hundred and five rupees,i have two hundred and five rupees
796,aenna sarae munoora naaku uripi hadathae,i have three hundred and four rupees,i have four hundred and four rupees
797,aenna sarae munoora haithu uripi hadathae,i have three hundred and five rupees,i have five hundred and five rupees
798,aenna sarae nanoora haaru uripi hadathae,i have four hundred and six rupees,i have four hundred and six rupees
799,aenna sarae hainoora mooru uripi hadathae,i have five hundred and three rupees,i have six hundred and three rupees
800,aenna sarae hainoora ombathu uripi hadathae,i have five hundred and nine rupees,i have six hundred and nine rupees
801,aenna sarae haarnoora mooru uripi hadathae,i have six hundred and three rupees,i have six hundred and three rupees
802,aenna sarae ezzhnoora aeradu uripi hadathae,i have seven hundred and two rupees,i have seven hundred and two rupees
803,aenna sarae eatnoora haaru uripi hadathae,i have eight hundred and six rupees,i have eight hundred and six rupees
804,aenna sarae ombainoora naaku uripi hadathae,i have nine hundred and four rupees,i have nine hundred and four rupees
805,aenna sarae ombainoora eattu uripi hadathae,i have nine hundred and eight rupees,i have nine hundred and eight rupees
806,aenna sarae saavirtha eppathi ondhu uripi hadathae,i have thousand and twenty one rupees,i have thousand and twenty one rupees
807,aenna sarae saavirtha moovathi ondhu uripi hadathae,i have thousand and thirty one rupees,i have thousand and thirty one rupees
808,aenna sarae saavirtha moovathi aeradu uripi hadathae,i have thousand and thirty two rupees,i have thousand and thirty two rupees
809,aenna sarae saavirtha moovathi mooru uripi hadathae,i have thousand and thirty three rupees,i have thousand and thirty three rupees
810,aenna sarae saavirtha moovathi eattu uripi hadathae,i have thousand and thirty eight rupees,i have thousand and thirty eight rupees
811,aenna sarae saavirtha haivathi ezzhu uripi hadathae,i have thousand and fifty seven rupees,i have thousand and fifty seven rupees
812,aenna sarae saavirtha haivathi ombathu uripi hadathae,i have thousand and fifty nine rupees,i have thousand and fifty nine rupees
813,aenna sarae saavirtha haravathi mooru uripi hadathae,i have thousand and sixty three rupees,i have thousand and sixty three rupees
814,aenna sarae saavirtha eambathu uripi hadathae,i have thousand and eighty rupees,i have thousand and eighty rupees
815,aenna sarae saavirtha eambathi ondhu uripi hadathae,i have thousand and eighty one rupees,i have thousand and eighty one rupees
816,aenna sarae saavirtha eambathi mooru uripi hadathae,i have thousand and eighty three rupees,i have thousand and eighty three rupees
817,aenna sarae saavirtha eambathi naaku uripi hadathae,i have thousand and eighty four rupees,i have thousand and eighty four rupees
818,aenna sarae saavirtha eambathi ezzhu uripi hadathae,i have thousand and eighty seven rupees,i have thousand and eighty seven rupees
819,aenna sarae saavirtha nooru uripi hadathae,i have thousand and hundred rupees,i have thousand and thirty rupees
820,haalu kodu,give him some milk,drink milk
821,haalu na kuduputhu ellae,i dont drink milk,i dont drink milk
822,majigae kudathaya,did you drink curd,did you drink milk
