,input_ba,true_en,pred_en
413,ninnaga aena nalavata appara edathara,which game you like the most,which game you like the most
414,ninnaga aena hannu appara edathara,which fruit you like the most,which fruit you like the most
415,jaamai nanga nooda,after sometime we will meet,after sometime we will meet
416,ovae edhu aena eththae hara,oh why is this happening,oh why is this happening
417,ninga hatti gowda na hesaru aena,what is the name of your village president,what is the name of your village president
418,e kamissu appara sooka hadathae,this shirt is so nice,this shirt is so nice
419,ba aenga maenaga oittu bapa,come lets go to my home,come lets go to my home
420,kammi kudi,drink less,drink less
421,nee aennava aeka korchulae,why didnt you call me,why didnt you call me
422,ninnava noodi appara jaenna aipta,i havent seen you for many days,i havent seen you for many days
423,ninnava ha akka korchiya,that sister is calling you,that sister is calling you
424,e paappa appara sooka edhavae,this baby girl is so beautiful,this baby girl is so beautiful
425,nee dhara hennu,whose daughter are you,whose daughter are you
426,nanga hatti ya na tha singa,im the lion of our village,im the lion of our village
427,nee aeka esaga koopa thogae edhdhae,why are you so angry,why are you so angry
428,na tha raja elliya,im the king here,im the king here
429,nee thindhubutaya,did you eat,did you eat
430,nadatharava aenthu nooduva,lets see what is going to happen,lets see what will happen
431,ha bandi aesu maniga banthara,at what time that vechile comes,at what time that vechile comes
432,elli osi jaama nillu,stand here for some time,stand here for some time
433,na ondhu osa kamisu esithae,i buyed a new shirt,i buyed a new shirt
434,nee appara oliya koosu aemba,you are very good guy it seems,you are very good guy it seems
435,endhdhu aena jaenna,today which day,today which day
436,baputhu mudatharava,can you come,can you come
437,e bandi alliga oora,where this vechile goes,where this vechile goes
438,manakana baruthu budu,write fast,write fast
439,nanga evaka hatti habba ga oopa,we will go to their village festival,we will go to their village festival
440,aennaga ondhu mutha tha,give me a kiss,give me a kiss
441,ae nadigar ninnaga appara edathara,which actor do you like the most,which actor do you like the most
442,neeyu ollenge nadachathu,you should also act well,you should also act well
443,elliya gandu kunnavae battae mattu tha attra,here there is only dresses for boys,here there is only dresses for boys
444,ha kadaya orukuthu othina tharuthu butara,that shop will open early in the morning,that shop will open early in the morning
445,hamana sarae appara hana hadathae,he has so much money,he has so much money
446,bartha kuu tha aennaga edathara,i like fried rice,i like fried rice
447,dhomba balae aesaga,what is the price for tomatto,what is the price for tomatto
448,edhuna tha essu jaama noodithae,i have watched the same thing for so long time,i have watched the same thing for so long time
449,na ondhu paatu baruthuthae,i have written one song,i have written one song
450,baanu sooka hadathae endhdhu,sky is so good today,sky is so good today
451,maranae tha na hatti ga odhae,day before yesterday i went to school,day before yesterday i went to school
452,ninna sambuva aella va berikiptaya,did you spend your whole salary completely,did you spend your whole salary completely
453,aennaga ei thinguva sambuva ennu hakulae,this month salary is not yet credited for me,this month salary is not yet credited for me
454,e paata kaethara appara santhoshava hadathae,i feel happy while listening to this song,i feel happy while listening to this song
455,endhdhu odambu aella bayangarava urchira,today my whole body is paining,today my whole body is paining
456,baerae dhari ondhu ellaya,is there any other way,is there any other way
457,naaiga osa kamisu ekinae,tomorrow i will wear a new shirt,tomorrow i will wear a new shirt
458,maanu appara hanjira,deer fears a lot,the sky is paining
459,na aeka aenthu hariyarae,i dont know why,i dont know why
460,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,i only have this one like that,i only have this one like that
461,kanna muchilae orruku banthara aennaga,i fell sleepy while i close my eyes,i fell sleepy while i close my eyes
462,ei koosu thanna iyya na maakae edhdhanae noodu,this kid looks like his grandfather,this kid looks like his grandfather
463,nee manakana ondhu sambuvaga saeru,get a job soon,get a job soon
464,hama na kastava na harathae,i know his suffering,i know his suffering
465,na hamana pathi aellava harathae,i know everything about him,i know everone
466,orrukuthu aena thindhae,what did you have for breakfast,what did you have for breakfast
467,aennaga aena dhukka,i have nothing to worry about,i have nothing to worry about
468,hadutha vaara bannae,next week i will come,next week i will come
469,hullathi enna amma na hatti,hullathi is my mothers village,hullathi is my mothers village
470,na osi havakava tha harathae aenga hatti ya,i know only few peoples in my village,i know only few peoples in my village
471,ei kamisu aechuthu ellae aennaga,this shirt is too small for me,this shirt is too small for me
472,hama ondhu sombaeri,he is lazy guy,he is lazy guy
473,mannae aeguva kichu ottiyara,when is the house warming function,when is the house warming function
474,kadaisi parachae aeguva,when is the last exam,when is the last exam
475,na hadatha varusa osa mannae esinae,next year i am going to buy a house,next year i will buy a new house
476,aenna maejoodu kaenae thava,my socks is missing,my socks is missing
477,ninna maejoodu halamaari ogasu hadathae noodu,your socks is in the cupboard,your socks is in the cupboard
478,kannuga dhusi budhu butta,dust went inside my eyes,dust went inside my eyes
479,gaai appara beesira,too much wind is blowing,too much wind is blowing
480,ninna bandi hattnae ya hadathaya,is your vechile is in ground,is your vechile is in ground
481,sunji nool hadathaya ninna sarae,do you have needle and thread,do you have needle and thread
482,elliga ba,come here,come here
483,orruku ollenge banthutha,did you sleep well,did you sleep well
484,gelcha maadulae,i didnt do the work,i didnt do the work
485,gelcha maadirae seri,it would be good if you work,it would be good if you work
486,manae ga ogaka,we can go home,we can go home
487,na hamana noodinae,i am going to see him,i will see him
488,nee amana nooda beda,you dont see him,you dont look him
489,hanjathae eru,dont be scared,dont be scared
490,hanjikae bantharava,are you scared,are you scared
491,hanjilae ondhu maaduthu mudiya,you cant do anything if you are scared,you cant do anything if you are scared
492,mussiya noodu,look at your face,look at your face
493,elliga kandipa banthu budu,you should definetely come here,you should definetely come here
494,odha varusa aena maadithae,what did you do last year,what did you do last year
495,endhdhu sani jaenna,today is saturday,today is saturday
496,aenga banthu buttayu,we came,we came
497,emma banthubutta,he came,he came
498,dhara bapilae,who did not come,who did not come
499,dhaaru bapilae,nobody came,nobody came
500,na ninna korchinae,i will call you,i will call you
501,battae oguputhu,i should wash my clothes,i should wash my clothes
502,batlu thogibudu,wash the plate,wash the plate
503,aennava nenachithiya,did you think of me,did you think of me
504,ninnava nenachulae,i didnt think of you,i didnt think of you
505,kuu thinnae,i can eat rice,i can eat rice
506,kuu thimbuthu ellae,i wont eat rice,i wont eat rice
507,kuu ellae,i dont have rice,i dont have rice
508,saendu ellae,i dont have ball,i dont have ball
509,battae hadathaya,do you have dress,do you have dress
510,naaiga nalaba,tomorrow we will play,tomorrow we will play
511,naaiga bodhavaara jaenna,tomorrow is wednesday,tomorrow is wednesday
512,naaiga olleya jaenna,tomorrow is a good day,tomorrow is a good day
513,endhdhu aenna utti jaenna,today is my birthday,today is my birthday
514,maranae aenna utti jaenna,day before yesterday is my birthday,day before yesterday is my birthday
515,kappu banna ollenge attra,black color will be so nice,black color will be so nice
516,harchina banna sooka attra,yellow color will be so nice,yellow color will be so nice
517,aenna sarae aeradu uripi hadathae,i have two rupees,i have two rupees
518,aenna sarae naaku uripi hadathae,i have four rupees,i have four rupees
519,aenna sarae haivathu uripi hadathae,i have fifty rupees,i have fifty rupees
520,aenna sarae eambathu uripi hadathae,i have eighty rupees,i have eighty rupees
521,aenna sarae erranooru uripi hadathae,i have two hundred rupees,i have two hundred rupees
522,aenna sarae munoora ondhu uripi hadathae,i have three hundred and one rupees,i have three hundred and one rupees
523,aenna sarae mooru savvira uripi hadathae,i have three thousand rupees,i have three thousand rupees
524,aenna sarae ezzhu saavira uripi hadathae,i have seven thousand rupees,i have seven thousand rupees
525,aenna sarae naaku lacha hadathae,i have four lakhs,i have four lakhs
526,aenna sarae naaku koodi hadathae,i have four crore,i have four crore
527,aenna sarae moovathi ondhu uripi hadathae,i have thirty one rupees,i have thirty one rupees
528,aenna sarae moovathi haithu uripi hadathae,i have thirty five rupees,i have thirty five rupees
529,aenna sarae nalvathi ondhu uripi hadathae,i have fourty one rupees,i have fourty one rupees
530,aenna sarae nalavathi ezzhu uripi hadathae,i have fourty seven rupees,i have fourty seven rupees
531,aenna sarae haivathi ondhu uripi hadathae,i have fifty one rupees,i have fifty one rupees
532,aenna sarae haivathi mooru uripi hadathae,i have fifty three rupees,i have fifty three rupees
533,aenna sarae haivathi haithu uripi hadathae,i have fifty five rupees,i have fifty five rupees
534,aenna sarae haravathi ondhu uripi hadathae,i have sixty one rupees,i have sixty one rupees
535,aenna sarae thombathi eattu uripi hadathae,i have ninty eight rupees,i have ninty eight rupees
536,aenna sarae eranoora ondhu uripi hadathae,i have two hundred and one rupees,i have two hundred and one rupees
537,aenna sarae eranoora ezzhu uripi hadathae,i have two hundred and seven rupees,i have two hundred and seven rupees
538,aenna sarae munoora naaku uripi hadathae,i have three hundred and four rupees,i have three hundred and four rupees
539,aenna sarae munoora haithu uripi hadathae,i have three hundred and five rupees,i have three hundred and five rupees
540,aenna sarae munoora ezzhu uripi hadathae,i have three hundred and seven rupees,i have three hundred and seven rupees
541,aenna sarae nanoora ombathu uripi hadathae,i have four hundred and nine rupees,i have four hundred and nine rupees
542,aenna sarae hainoora mooru uripi hadathae,i have five hundred and three rupees,i have five hundred and three rupees
543,aenna sarae hainoora naaku uripi hadathae,i have five hundred and four rupees,i have five hundred and four rupees
544,aenna sarae hainoora ezzhu uripi hadathae,i have five hundred and seven rupees,i have five hundred and seven rupees
545,aenna sarae ezzhnoora aeradu uripi hadathae,i have seven hundred and two rupees,i have seven hundred and two rupees
546,aenna sarae eatnoora eattu uripi hadathae,i have eight hundred and eight rupees,i have eight hundred and eight rupees
547,aenna sarae ombainoora ondhu uripi hadathae,i have nine hundred and one rupees,i have nine hundred and one rupees
548,aenna sarae ombainoora aeradu uripi hadathae,i have nine hundred and two rupees,i have nine hundred and two rupees
549,aenna sarae ombainoora haaru uripi hadathae,i have nine hundred and six rupees,i have nine hundred and six rupees
550,aenna sarae saavirtha ezzhu uripi hadathae,i have thousand and seven rupees,i have thousand and seven rupees
551,aenna sarae saavirtha ombathu uripi hadathae,i have thousand and nine rupees,i have thousand and nine rupees
552,aenna sarae saavirtha eppathi eattu uripi hadathae,i have thousand and twenty eight rupees,i have thousand and twenty eight rupees
553,aenna sarae saavirtha nalavathi mooru uripi hadathae,i have thousand and fourty three rupees,i have thousand and fourty three rupees
554,aenna sarae saavirtha nalavathi eattu uripi hadathae,i have thousand and fourty eight rupees,i have thousand and fourty eight rupees
555,aenna sarae saavirtha haivathi haithu uripi hadathae,i have thousand and fifty five rupees,i have thousand and fifty five rupees
556,aenna sarae saavirtha haivathi haaru uripi hadathae,i have thousand and fifty six rupees,i have thousand and fifty six rupees
557,aenna sarae saavirtha eambathi ezzhu uripi hadathae,i have thousand and eighty seven rupees,i have thousand and eighty seven rupees
558,aenna sarae saavirtha thombathi aeradu uripi hadathae,i have thousand and ninty two rupees,i have thousand and ninty two rupees
559,aenna sarae saavirtha thombathi eattu uripi hadathae,i have thousand and ninty eight rupees,i have thousand and ninty eight rupees
560,haalu kudathara,did you drink milk,did you drink milk
561,haalu kudathariya,do you want to drink milk,do you want to drink milk
562,haalu attrava,do you have milk,do you have milk
563,haalu aennaga ediya,i dont like milk,i dont like milk
564,ninnaga haalu edatharava,do you like milk,do you like milk
565,majigae ellae ya,do you have curd,do you have curd
566,ema ga aena baeku,what does she want,what does she want
567,hamaga ondhu baeda,he doesnt want anything,he doesnt want anything
568,edhuna na nooduthu ellae,i wont look this,i wont look this
569,edhuna na noodavae ellae,i havent looked at this,i havent looked at this
570,adhuna noodu,look at that,look at that
571,adhuna na nooduthu ellae,i wont look that,i wont look that
572,emana nooda baeda,dont look at him,dont look at him
573,havana noodavae baeda,dont ever look at her,dont ever look at her
574,aena maaduthuga oorae,what you are going to do,what will you do next
575,maaduthuga appara hadathae,there is a lot of things to do,there is a lot of things to do
576,ei halla na dhesaga neeru tha hadathae,there is less water in this river,there is less water in this river
577,ei halla thumba neeru hadathae,there is full of water in this river,there is full of water in this river
578,ei halla na meenu hadathae,there are fiches in this river,there are fiches in this river
579,ei halla na vaathu hadathae,there are ducks in this river,there are ducks in this river
580,edhuga aena karana,what was the reason for this,what was the reason for this
581,nee tha edhuga karaenna,you are the reason for this,you are the reason for this
582,nambithigae emmana,you dont beleive him,you dont beleive him
583,emma aemaathu guli,he is a cheater,he is a cheater
584,baputhu mudiyati aegi budivi,tell me if you dont want to come,tell me if you dont want to come
585,edhu appara kunna dhevigae,this lamp is very small,this lamp is very small
586,aenna sarae aeradu kothi hadathae,we have two cats,i have two cats
587,habba maaduthu ellae,they are not celebrating festival,they are not celebrating festival
588,maranae aennaga aeradu parchae hattuthu,day before yesterday i had two exams,day before yesterday i had two exams
589,na aeradu osa kamisu esinae,i will buy two new shirts,i will buy two new shirts
590,pachai banna sooka attra,green color will be so good,green color will be so nice
591,mannu koda nalaya baeda,dont play with mud,dont play with mud
592,kathiri kool hadathaya,do you have scissors,do you have scissors
593,nanga nalaba va,shall we play,shall we play
594,ei muruku ollenge hadathae,this chips is very nice,this chips is very nice
595,aeka ei varsha habba maaduthu ellae,why this year the festival is cancelled,why this year the festival is cancelled
596,aenna sarae ezzhnoora mooru uripi hadathae,i have seven hundred and three rupees,i have seven hundred and three rupees
597,edhuna aena aenthu korchiyara,what do they call it,what do they call it
598,na haaru pada noodithae,i have written six songs,i have written six songs
599,naaiga aena madirae nee,tomorrow what will you do,tomorrow what will you do
600,aenna sarae eppathi ondhu uripi hadathae,i have twenty one rupees,i have twenty one rupees
601,nee edhuna muyarchi maadi nooduthu,you should try this and see,you should try this and see
602,aenna sarae eranoora ombathu uripi hadathae,i have two hundred and nine rupees,i have two hundred and nine rupees
603,aenna sarae saavirtha aeradu uripi hadathae,i have thousand and two rupees,i have thousand and two rupees
604,emma appara lollu maadinae,he troubles us too much,he troubles us too much
605,na ninnava appara theruku noodithae,i have seen you many times,i have seen you many times
606,edhu ninga nae ya,is this your dog,is this your dog
607,kannadi palichunthu hadathae,mirror is too clean,mirror is too clean
608,battae oguthu budu,wash the clothes,wash the clothes
609,hullathi hatti appara sooka attra,hullathi village will be good,hullathi village will be good
610,hama appara paappa,he is so pitty,he is so pitty
611,aenna sarae nalavathu uripi hadathae,i have fourty rupees,i have fourty rupees
612,santhu harae appara kathalae aipra,night time it will become so dark,night time it will become so dark
613,aenga sarae dhana hadathae,we have a cow,we have a cow
614,aenna sarae haarnoora mooru uripi hadathae,i have six hundred and three rupees,i have six hundred and three rupees
615,ninga hesaru aena,what is your name,what is your name
616,aena maadinthae nee ega,what are you doing now,what are you doing now
617,santhu ettu aena,what is the dinner,what is the dinner
618,ei anna ga aerudu madhuvae haipta,this brother married two times,this brother married two times
619,odha thinguva aena maadithae,what did you do last month,what did you do last month
620,baputhu mudiyati aegi budivi,tell me if you dont want to come,tell me if you dont want to come
621,ninnaga na kandipa esi thannae,i will definetely buy this for you,i will definetely buy this for you
622,aennava dhara korchithuru,who called me,who called me
623,ninga mannae appara kunnuthu,your house is too small,your house is too small
624,ondhu kadhae aegu,tell me a story,tell me a story
625,aenna maejoodu kaenae thava,my socks is missing,my socks is missing
626,aenna sarae eppathu uripi hadathae,i have twenty rupees,i have twenty rupees
627,dhomba balae aesaga,what is the price for tomatto,what is the price for tomatto
628,nee aesavathu katharae,which standard are you studying,which standard are you studying
629,ei haspithiri aelliya hadathae,where is this hospital located,where is this hospital located
630,bandi manakana bantharae sari,bus should come fast,bus should come fast
631,nanga tha edhu aellava aegi kodathu,we should teach them all this,we should teach them all this
632,hattnae ga ba nalaba,come to the ground we will play,come to the ground we will play
633,badaga palaya paatu aella ennu sooka attra,badaga old songs will be too good,badaga old songs will be too good
634,haalu jaennagu kuduputhu,we should drink milk daily,we should drink milk daily
635,aenna sarae hathu lacha hadathae,i have ten lakhs,i have ten lakhs
636,battae ya keeru,tear the dress,tear the dress
637,elliya appara vaasaenae banthara,here it smells very bad,here it smells very bad
638,orruku ollenge banthutha,did you sleep well,did you sleep well
639,nee ollenge kaputhu,you should study well,you should study well
640,ei kaagitha appara mukkiya,this paper is so important,this paper is so important
641,aenna sarae thombathi ondhu uripi hadathae,i have ninty one rupees,i have ninty one rupees
642,aeguvavu negathu baasae haadu,we should always smile while talking,we should always smile while talking
643,aenna anna na sarae ondhu nae hadathae,my brother has one dog,my brother has one dog
644,nee aennava aeka korchulae,why didnt you call me,why didnt you call me
645,ondhu olliya hesaru aegu,tell me one good name,tell me one good name
646,santhoshava ebbuthuga olli manasu attrae podhu,you need a good heart to be happy,you need a good heart to be happy
647,ninga hatti appara thoda hatti ya,is your village is a big,is your village is a big
648,aena maaduthu ega,what to do now,what to do now
649,nee aethae edhdhae,how are you,how are you
650,aennaga sambuva aella ondhu ellae,i dont have any salary,i dont have any salary
651,na ninnava aethae gaena buttanae,how would i forgot you,how would i forgot you
652,aeguva banthae nee,when did you come,when did you come
653,mae oodharava,is it raining,is it raining
654,kathiri kool athi ba,bring the scissors,bring the scissors
655,nee hamana ariyarae maka,i think you dont know him,i think you dont know him
656,na baekara hamana sarae kaethanae,i can ask him,i can ask him
657,hamaga ondhu baeda,he doesnt want anything,he doesnt want anything
658,sunji nool athi ba,bring the needle and thread,bring the needle and thread
659,aenga sarae ondhu kappu dhana hadathae,we have one black cow,we have one black cow
660,egavae appara jaama aipta thava,already its too late,already its too late
661,havaka banthu buttru,they came,they came
662,ninga hatti ya endhdhu habba va,today is your village festival,today is your village festival
663,naaiga gelcha hadathaya,do you have work tommorrow,do you have work tommorrow
664,bandi aethu aelliyachi oppa,take the vechile we will go somewhere,take the vechile we will go somewhere
665,appara thimuru maada baeda,dont do naughty things,dont do naughty things
666,aena maadirae,what are you doing,what are you doing
667,evaka olliyavaka,they are good peoples,they are good peoples
668,kuu ellae,i dont have rice,i dont have rice
669,dhaaru baputhu ellae,nobody is coming,nobody is coming
670,jaama aipta manakana manaega ogu,its time go home quickly,its time go home quickly
671,naaiga bodhavaara jaenna,tomorrow is wednesday,tomorrow is wednesday
672,aenna sarae saavirtha haravathi haaru uripi hadathae,i have thousand and sixty six rupees,i have thousand and sixty six rupees
673,buruvae oodha kudathu,dont learn for blindly,dont learn for blindly
674,hanjathae eru,dont be scared,dont be scared
675,hama onnava,will he go,will he go
676,haramichibutaya nee thiriki,you started again,you started again
677,aenna sarae haravathi mooru uripi hadathae,i have sixty three rupees,i have sixty three rupees
678,gelcha maadinae,i should work,i should work
679,aenna sarae eambathi aeradu uripi hadathae,i have eighty two rupees,i have eighty two rupees
680,ei muruku ollenge hadathae,this chips is very nice,this chips is very nice
681,eni maellae ethae maka maadirae hasagatha nee,dont repeat this ever again,dont repeat this ever again
682,emmana maakae koosu dharu ellae,nobody is good as him,nobody is good as him
683,hanjikae bantharava,are you scared,are you scared
684,osa mettu ondhu esothu,need to buy a new slippers,need to buy a new slippers
685,aeka ethae aegirae,why are you telling like this,why are you telling like this
686,edhuga maelae na ondhu aegarae,i wont tell anything,i wont tell anything
687,ema appara hollatha baasae hadina,he use a lot of blame words while speaking,he use a lot of blame words while speaking
688,emaga simbu tha edathara,he likes simbu,he likes simbu
689,manapaada maada beda,dont mug it up,dont mug it up
690,na ninnaga adhuna kaeginae,i will send you that one,i will send you that one
691,na hadatha varusa ondhu bandi esinae,next year i am going to buy a vechile,next year i am going to buy a vechile
692,na siti kasta thogae edhae,i having liitle trouble,i having liitle trouble
693,aenga banthu buttayu,we came,we came
694,ei varusa aena maadithae,what did you do this year,what did you do this year
695,nee bandha maada beda,you dont show off,you dont show off
696,gaasu keesu,peel the potato,peel the potato
697,ninga hesaru aena,what is your name,what is your name
698,e bandi alliga oora,where this vechile goes,where this vechile goes
699,na ninnaga saapa hakinae,i curse you,i curse you
700,na ninna appaenna harathae,i know your father,i know your father
701,aennaga rajini tha edathara,i like rajini,i like rajini
702,ninnaga edatha ettu aena,what is your favourite food,what is your favourite food
703,nudiya baeda hamana,dont scold him,dont scold him
704,ninna sarae oi na aegithae noodu,i regret telling you,i regret telling you
705,aedho ondhu maadu,do something,do something
706,kai urchathu ellae,my hand is not paining,my hand is not paining
707,ninnaga aena nalavata appara edathara,which game you like the most,which game you like the most
708,emma paravalae siti nalathana,he is an average player,he is an average player
709,endhdhu jaenna pura na oodhinae,im going to study this whole day,im going to study this whole day
710,manaeya meenu maadiyara,they are cooking fish at home,they are cooking fish at home
711,aennaga kaarikae banthangae hadathae,i feel like vomitting,i feel like laughing
712,aenna kannadiya noodithiya,did you see my spectacles,did you see my spectacles
713,eekadae hadathae,this side it is there,this side it is there
714,appara jaama haipta,its too late,its too late
715,orukuthu ettu aena,what is the breakfast,what is the breakfast
716,pakka dhara edhdharae,who is there near you,who is there near you
717,hagulu hasuga aena maditha,what did you prepare for lunch,what did you prepare for lunch
718,bannae eru,wait i will come,wait i will come
719,na ondhu osa kamisu esithae,i buyed a new shirt,i buyed a new shirt
720,gaai jaasthi endhdhu,today it is so windy,today it is so windy
721,nennae ollenge orugulae,yesterday i didnt sleep well,yesterday i didnt sleep well
722,pada appara asundu,film was so boring,film was so boring
723,edhu ninna kai na tha hadathae,this is in your hands,this is in your hands
724,enu na ninaga aesaga hana thaputhu,how much money should i give you,how much money should i give you
725,e koosu appara baevara,this boy is so brilliant,this boy is so brilliant
726,emaga simbu tha edathara,he likes simbu,he likes simbu
727,emma ollenge nadichina,he acts very well,he acts very well
728,emma bayangarava nalathana,he plays very good,he plays very good
729,aenna amma na nee noodithiya,did you see my mother,did you see my mother
730,aenna amme ya nee noodithiya,did you see my sister,did you see my sister
731,na tharuvavu noodulae,i havent seen anyone,i havent seen anyone
732,ei kadai alliya hadathae,wher is this shop located,wher is this shop located
733,kanduga thinna baeda,dont eat too much,dont eat too much
734,nee aeka soogava edhae,why are so sad,why are so sad
735,bartha kuu ollenge attra,fried rice will be so good,fried rice will be so good
736,mottae udhaka appara sooka attra,egg gravy will be so nice,egg gravy will be so nice
737,na aenna appa aeguva koosa tha madhuvae maadinae,i will maary whoever my father tolds me to marry,i will maary whoever my father tolds me to marry
738,dhosi jaenna eru,wait for some days,wait for some days
739,thaputhu ellae,i wont give,i wont give
740,nee aellaga mariyathae kodathu,you should respect everyone,you should respect everyone
741,edhuna beero ogasu be,keep this inside the cupboard,keep this inside the cupboard
742,endhdhu bara,today the sky is clear,today the sky is clear
743,baanu thumba neellae banna endhdhu,sky is full of blue today,sky is full of blue today
744,appara baara va thooka baeda,dont carry too much weight,dont carry too much weight
745,emmaga dhesaga kaapi kodu,give him some coffee,give him some coffee
746,baerae dhari ondhu ellaya,is there any other way,is there any other way
747,endhdhu odambu aella bayangarava urchira,today my whole body is paining,today my whole body is paining
748,ei gelcha manakana berikirae manaega manakana oogaku,if i complete this job early i can go home early,if i complete this job early i can go home early
749,santhu thimbuthuga aena esathu,what to buy for dinner,what to buy for dinner
750,kaadu thogae ulli hadathae,tiger is there in the forest,tiger is there in the forest
751,karadi appara kappa attra,bear will be so black in color,bear will be so black in color
752,aenna haethae tha nadangae noodiya,my grandmother will watch serials,my grandmother will watch serials
753,habba jaenna avarai udhaka tha maadiyara,during festivals they used to make beans gravy,during festivals they used to make beans gravy
754,na hamana pathi aellava harathae,i know everything about him,i know everone
755,hullathi hatti appara sooka attra,hullathi village will be good,hullathi village will be good
756,hullathi ondhu kunna hatti,hullathi is a small village,hullathi is a small village
757,ninna vayasu kunnavae aesaga edhdharae,how many kids are there in your age,how many kids are there in your age
758,ninnaga edatha ettu aena,what is your favourite food,what is your favourite food
759,emma siti vishaesha,he is mad,he is mad
760,aenna sarae sillarae ellae ninna sarae attrae kodu,i dont have change if you have change you give him,i dont have change if you have change you give him
761,ennu aerudu vaara tha hadathae parachae ga,two weeks are left for the exam,two weeks are left for the exam
762,ei varusa berugathuga ennu ondhu thinguva tha hadathae,one month left for next year,one month left for next year
763,ei varusa berugathuga ennu mooru thinguva tha hadathae,three nonths are left for next year,three nonths are left for next year
764,na hadatha varusa baerae gelcha ga onnae,i will go to another job next year,i will go to another job next year
765,na hadatha varusa osa mannae esinae,next year i am going to buy a house,next year i will buy a new house
766,ninna maejoodu halamaari ogasu hadathae noodu,your socks is in the cupboard,your socks is in the cupboard
767,ei bala paetti appara dhoduthu,this cupboard is so big,this cupboard is so big
768,gaai appara beesira,too much wind is blowing,too much wind is blowing
769,hattnae ga ba nalaba,come to the ground we will play,come to the ground we will play
770,saendu maada va,shall me do a ball,shall me do a ball
771,edhuga maellae nalubuthu mudiya,we cant play here after,we cant play here after
772,edhuga maellae na naliyarae,i cant play here after,i cant play here after
773,naaiga aenna utti jaenna,tomorrow is my birthday,tomorrow is my birthday
774,maranae aenna utti jaenna,day before yesterday is my birthday,day before yesterday is my birthday
775,mangavaara aenna utti janna,tuesday is my birthday,tuesday is my birthday
776,bodhavaara aenna utti jaenna,wednesday is my birthday,wednesday is my birthday
777,haadhivaara aenna utti jaenna,sunday is my birthday,sunday is my birthday
778,neela banna sooka attra,blue color will be so nice,blue color will be so nice
779,aenna sarae naaku uripi hadathae,i have four rupees,i have four rupees
780,aenna sarae ombathu uripi hadathae,i have nine rupees,i have nine rupees
781,aenna sarae haravathu uripi hadathae,i have sixty rupees,i have sixty rupees
782,aenna sarae aerudu saavira uripi hadathae,i have two thousand rupees,i have two thousand rupees
783,aenna sarae naaku saavira uripi hadathae,i have four thousand rupees,i have four thousand rupees
784,aenna sarae hathu koodi hadathae,i have ten crore,i have ten crore
785,aenna sarae eppathi mooru uripi hadathae,i have twenty three rupees,i have twenty three rupees
786,aenna sarae eppathi haithu uripi hadathae,i have twenty five rupees,i have twenty five rupees
787,aenna sarae eambathi ondhu uripi hadathae,i have eighty one rupees,i have eighty one rupees
788,aenna sarae eambathi mooru uripi hadathae,i have eighty three rupees,i have eighty three rupees
789,aenna sarae eambathi haithu uripi hadathae,i have eighty five rupees,i have eighty five rupees
790,aenna sarae eambathi ombathu uripi hadathae,i have eighty nine rupees,i have eighty nine rupees
791,aenna sarae thombathi haithu uripi hadathae,i have ninty five rupees,i have ninty five rupees
792,aenna sarae thombathi ezzhu uripi hadathae,i have ninty seven rupees,i have ninty seven rupees
793,aenna sarae noora eattu uripi hadathae,i have hundred and eight rupees,i have hundred and eight rupees
794,aenna sarae eranoora naaku uripi hadathae,i have two hundred and four rupees,i have two hundred and four rupees
795,aenna sarae eranoora haithu uripi hadathae,i have two hundred and five rupees,i have two hundred and five rupees
796,aenna sarae munoora naaku uripi hadathae,i have three hundred and four rupees,i have three hundred and four rupees
797,aenna sarae munoora haithu uripi hadathae,i have three hundred and five rupees,i have three hundred and five rupees
798,aenna sarae nanoora haaru uripi hadathae,i have four hundred and six rupees,i have four hundred and six rupees
799,aenna sarae hainoora mooru uripi hadathae,i have five hundred and three rupees,i have five hundred and three rupees
800,aenna sarae hainoora ombathu uripi hadathae,i have five hundred and nine rupees,i have five hundred and nine rupees
801,aenna sarae haarnoora mooru uripi hadathae,i have six hundred and three rupees,i have six hundred and three rupees
802,aenna sarae ezzhnoora aeradu uripi hadathae,i have seven hundred and two rupees,i have seven hundred and two rupees
803,aenna sarae eatnoora haaru uripi hadathae,i have eight hundred and six rupees,i have eight hundred and six rupees
804,aenna sarae ombainoora naaku uripi hadathae,i have nine hundred and four rupees,i have nine hundred and four rupees
805,aenna sarae ombainoora eattu uripi hadathae,i have nine hundred and eight rupees,i have nine hundred and eight rupees
806,aenna sarae saavirtha eppathi ondhu uripi hadathae,i have thousand and twenty one rupees,i have thousand and twenty one rupees
807,aenna sarae saavirtha moovathi ondhu uripi hadathae,i have thousand and thirty one rupees,i have thousand and thirty one rupees
808,aenna sarae saavirtha moovathi aeradu uripi hadathae,i have thousand and thirty two rupees,i have thousand and thirty two rupees
809,aenna sarae saavirtha moovathi mooru uripi hadathae,i have thousand and thirty three rupees,i have thousand and thirty three rupees
810,aenna sarae saavirtha moovathi eattu uripi hadathae,i have thousand and thirty eight rupees,i have thousand and thirty eight rupees
811,aenna sarae saavirtha haivathi ezzhu uripi hadathae,i have thousand and fifty seven rupees,i have thousand and fifty seven rupees
812,aenna sarae saavirtha haivathi ombathu uripi hadathae,i have thousand and fifty nine rupees,i have thousand and fifty nine rupees
