,input_en,true_ba,pred_ba
349,dont tell like this again,eni maellae ethae aella aega baeda,edhuna aennaga edhuna aeguthu ellae
350,i will talk to him,na hamana sarae baasae hadinae,na ninnava noodithae
351,i dont like this,aenaga edhdhu suthava edipilae,edhuna appara edathara
352,you know raj from your village,ninga hatti raj na harathaya,ninna sarae raj na harathae
353,what is your name i dont know you,na ninnava arriyarae thava ninna hesaru aena,ninna sarae aena na ninnava na ninnava
354,i will send you that one,na ninnaga adhuna kaeginae,na ninnava noodithae
355,legs are paining because of running,odi odi kaalu aella urchira,kai urchira urchira
356,be a little hontest,sittitu havathu manasatchi oda aegu,ninnaga appara ollenge edhdhae
357,your hands are so tiny,ninnuthu appara kunna kai thava,ninnaga appara kunnutha hadathae
358,you have a big face,ninna moga appara thoduthu,ninnaga appara sarae hadathae
359,brother tell something,anna aedhachi aegu,aennaga koosu ollenge edhdhae
360,i need to prepare tomorrow i have an exam,naaiga parchae hadathae na odhathu,naaiga aennaga ondhu parchae
361,promise i cant tolerate it anymore,edhuga maellaee aennala sathiyava mudiya,edhuna aennaga ollenge ellae
362,do you have a fever,sangata va ninnaga,ninnaga appara sarae edhdhae
363,do you know jairam,jairam amba hamana nee harathaya,jairam aenna sarae jairam
364,we both studied together,nanga aerada ottuga tha kattha,na ninnaga ollenge edhdhae
365,i though something to tell,na ondhu ossaennae maadi beethuthae,aennaga aennaga ondhu ellae
366,prepare some hot coffee,surakana osi kaapi be,kuduputhu kuduputhu
367,already its too late,egavae appara jaama aipta thava,ninnaga appara jaama edhdhae
368,we can only share secrets with the well known person,ollenge haratha havaka sarae mattu tha ragasiya aegakku,ninna sarae na koosu tha aeguthu ellae
369,drinking hot water is good for health,bessi neeru kudatharae sangata bara,kuduputhu ollenge ollithu
370,it is raining heavy today,endhdhu appara mae oodhara,endhdhu appara mae
371,the cow is worshiped as a god by badagas,dhana badagaruga soomi maakae,koosu koosu tha harathaya
372,tomorrow what will you do,naaiga aena madirae nee,naaiga aena maadirae
373,i dont even like this,aennaga edhu sittitu saethi edipillae,edhuna appara edhdhae
374,dont do anything be quite,ondhu maada gana sapaena eru,nee appara ollenge edhdhae
375,whatever we do we will be weak in studies,nangaga aena tha maadiliyu paadipu bara,nee aennava ollenge ellae
376,where did everyone go,aella aelliga oiypru,nee ollenge edhdhae
377,where did everyone go,aella aelliga oiypru,nee ollenge edhdhae
378,at what time your school starts,ningaga pallitu aesu mani ga,ninnaga aesu maniga aesaga
379,did you eat full or less,jaasthi thindhaya ellae kammi thindhaya,ninnaga ollenge orrukuthu
380,what is your name,ninga hesaru aena,ninnaga hesaru aena
381,what are you studying,ninga aena kathari,ninnaga aena maadirae
382,its too late,appara jaama haipta,edhuna appara kunnuthu
383,i know you,ninnava harathae,ninnava noodithae
384,what are you doing,aena maadirae,ninnaga aena maadirae
385,what is your son studying,koosu aena kathana,ninna koosu aena edhdhae
386,it is too  boring,appara asundu daw edhu,edhu appara sooka hadathae
387,comeon comeon,baarivi baarivi,kamma bannae
388,come inside the house,manae ogasu baarivi,manaeya ollenge banthu
389,this is so difficult,edhu appara kastava hadathae ae,edhu appara kasta
390,what shall we do now,nanga aena ji maaduthu,nee aena maaduthu aena
391,what are you doing,aena maadirae,ninnaga aena maadirae
392,go there,halliga ogu,elliga banthu
393,you should tell,nee tha aeguthu,ninnaga aennaga aegu
394,you know me right,nee aennava harathae thanae,nee aennava harathae aennava
395,you didnt go to village,hatti ga oppiliya nee,nee hatti ga oppiliya
396,give me some if you have,hatlae osi tharika,ninnaga edhdhae aennaga
397,all gods are same,aella soomi yu ondhu tha,nee aella ollenge edhdhae
398,we should teach them all this,nanga tha edhu aellava aegi kodathu,nee aeka tha aeguthu aegu
399,will you teach me,nee aennaga aegi thantharaya,ninnaga aennava maadithae
400,i havent seen you so far,na enna gata ninnava noodithae ellae thava,na ninnava ninnava noodithae
401,do you work here,nee elli gelcha madiriya,elliga ollenge edhdhae
402,where did you study,nee aelli kathae,nee aeguva edhdhae
403,you started again,haramichibutaya nee thiriki,nee ollenge edhdhae
404,still you did not started it,na ennu hadhuna harambichavae ellae,ninnaga edhdhae edhdhae
405,its okay tomorrow we will see,paravalae budu naaiga nooda,naaiga ollenge noodiriya
406,okay i will leave,seri na oittu bannae,na ninnaga ollenge edhdhae
407,yesterday night i was not able to sleep,nennae santhu orrukae bapilae,nennae santhu orrukuthu ellae
408,yesterday i met your mother,nennae na ninna amma na noodithae,nennae na ninna amme ya noodithae
409,tomorrow i have school not today,naaiga tha pallitu endhdhu ellae,naaiga aennaga ollenge edhdhae
410,tomorrow we will meet your father,naaiga ninna appa na nooda,naaiga ninna amme ya noodithae
411,tomorrow we will meet your mother,naaiga ninna amma na nooda,naaiga ninna amme ya noodithae
412,tomorrow you meet my sister,naaiga aenna amme ya noodu,naaiga ninna amme ya noodithae
413,which game you like the most,ninnaga aena nalavata appara edathara,ninnaga appara edathara
414,which fruit you like the most,ninnaga aena hannu appara edathara,ninnaga aena appara edathara
415,after sometime we will meet,jaamai nanga nooda,nangiga aennaga na ninnaga
416,oh why is this happening,ovae edhu aena eththae hara,edhuna aena maadirae
417,what is the name of your village president,ninga hatti gowda na hesaru aena,ninga hesaru aena hesaru aena
418,this shirt is so nice,e kamissu appara sooka hadathae,ei koosu appara sooka hadathae
419,come lets go to my home,ba aenga maenaga oittu bapa,manae ga oittu oppa
420,drink less,kammi kudi,nee ollenge edhdhae
421,why didnt you call me,nee aennava aeka korchulae,aennava nee aeka thaputhu ellae
422,i havent seen you for many days,ninnava noodi appara jaenna aipta,na ninnava appara jaenna noodithae
423,that sister is calling you,ninnava ha akka korchiya,ninnava na ninnava noodithae
424,this baby girl is so beautiful,e paappa appara sooka edhavae,ei koosu appara sooka hadathae
425,whose daughter are you,nee dhara hennu,ninna anna na ninna anna
426,im the lion of our village,nanga hatti ya na tha singa,ninga hatti tha hatti
427,why are you so angry,nee aeka esaga koopa thogae edhdhae,nee aeka edhdhae edhdhae
428,im the king here,na tha raja elliya,nee edhdhae edhdhae
429,did you eat,nee thindhubutaya,nee thindhae
430,lets see what is going to happen,nadatharava aenthu nooduva,ninnaga aena maadithae
431,at what time that vechile comes,ha bandi aesu maniga banthara,ei bandi aesu maniga banthara
432,stand here for some time,elli osi jaama nillu,elli osi jaama osi jaama
433,i buyed a new shirt,na ondhu osa kamisu esithae,na ollenge edhdhae
434,you are very good guy it seems,nee appara oliya koosu aemba,ninnaga appara olliya edathara
435,today which day,endhdhu aena jaenna,endhdhu jaenna
436,can you come,baputhu mudatharava,nee banthu buttae
437,where this vechile goes,e bandi alliga oora,ei bandi oppa
438,write fast,manakana baruthu budu,manakana ollenge edhdhae
439,we will go to their village festival,nanga evaka hatti habba ga oopa,nanga hatti habba ga oppa
440,give me a kiss,aennaga ondhu mutha tha,aennaga ondhu koosu
441,which actor do you like the most,ae nadigar ninnaga appara edathara,ninnaga ae appara edathara
442,you should also act well,neeyu ollenge nadachathu,nee manakana ollenge edhdhae
443,here there is only dresses for boys,elliya gandu kunnavae battae mattu tha attra,elliga na battae ollenge hadathae
444,that shop will open early in the morning,ha kadaya orukuthu othina tharuthu butara,orrukuthu orrukuthu ollenge edhdharae
445,he has so much money,hamana sarae appara hana hadathae,emma appara koosu ellae
446,i like fried rice,bartha kuu tha aennaga edathara,kuu appara edathara
447,what is the price for tomatto,dhomba balae aesaga,tomatto aena baeku
448,i have watched the same thing for so long time,edhuna tha essu jaama noodithae,eni maellae appara edhdhae appara edathara
449,i have written one song,na ondhu paatu baruthuthae,na ondhu banthara ondhu ellae
450,sky is so good today,baanu sooka hadathae endhdhu,endhdhu appara sooka hadathae
451,day before yesterday i went to school,maranae tha na hatti ga odhae,maranae na ninnaga odhdhae
452,did you spend your whole salary completely,ninna sambuva aella va berikiptaya,ninnaga aella ollenge edhdhae
453,this month salary is not yet credited for me,aennaga ei thinguva sambuva ennu hakulae,ei varusa sarae na saavirtha haravathu ellae
454,i feel happy while listening to this song,e paata kaethara appara santhoshava hadathae,ei na ninnava noodithae edhdhae
455,today my whole body is paining,endhdhu odambu aella bayangarava urchira,endhdhu appara urchira
456,is there any other way,baerae dhari ondhu ellaya,elliya ondhu ellaya
457,tomorrow i will wear a new shirt,naaiga osa kamisu ekinae,naaiga osi kottae
458,deer fears a lot,maanu appara hanjira,aennaga sarae appara koosu ellae
459,i dont know why,na aeka aenthu hariyarae,na aennaga aennaga edhdhae
460,i only have this one like that,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,ei hadathae na tha edhdhae edhdhae
461,i fell sleepy while i close my eyes,kanna muchilae orruku banthara aennaga,ninnaga aennaga nooduthu ellae
462,this kid looks like his grandfather,ei koosu thanna iyya na maakae edhdhanae noodu,ei koosu appara koosu thoda edhdharae
463,get a job soon,nee manakana ondhu sambuvaga saeru,eni maellae ollenge edhdhae
464,i know his suffering,hama na kastava na harathae,na hesaru aennaga
465,i know everything about him,na hamana pathi aellava harathae,ema na ninnava noodithae
466,what did you have for breakfast,orrukuthu aena thindhae,orrukuthu aena maadithae
467,i have nothing to worry about,aennaga aena dhukka,na ninnava noodithae
468,next week i will come,hadutha vaara bannae,na ninnaga ollenge bannae
469,hullathi is my mothers village,hullathi enna amma na hatti,hullathi aenga hatti tha hatti
470,i know only few peoples in my village,na osi havakava tha harathae aenga hatti ya,na aenga hatti havakava na tha hadathae
471,this shirt is too small for me,ei kamisu aechuthu ellae aennaga,ei kunnutha appara kunnutha hadathae
472,he is lazy guy,hama ondhu sombaeri,emma appara koosu
473,when is the house warming function,mannae aeguva kichu ottiyara,manakana ollenge edhdhae
474,when is the last exam,kadaisi parachae aeguva,ninnaga aeguva aeguva aegu
475,next year i am going to buy a house,na hadatha varusa osa mannae esinae,na ei varusa ollenge edhdhae
476,my socks is missing,aenna maejoodu kaenae thava,ninna sarae appara kasta
477,your socks is in the cupboard,ninna maejoodu halamaari ogasu hadathae noodu,ninna sarae ollenge hadathae
478,dust went inside my eyes,kannuga dhusi budhu butta,aennaga ollenge noodithae
479,too much wind is blowing,gaai appara beesira,aennaga appara koosu
480,is your vechile is in ground,ninna bandi hattnae ya hadathaya,bandi ollenge hadathae
481,do you have needle and thread,sunji nool hadathaya ninna sarae,ninna sarae na tha hadathae
482,come here,elliga ba,elliga banthu
483,did you sleep well,orruku ollenge banthutha,nee ollenge edhdhae
484,i didnt do the work,gelcha maadulae,gelcha maadinae
485,it would be good if you work,gelcha maadirae seri,gelcha maadinae seri
486,we can go home,manae ga ogaka,manae ga oppa
487,i am going to see him,na hamana noodinae,na ninnava noodithae
488,you dont see him,nee amana nooda beda,nee hamana noodu
489,dont be scared,hanjathae eru,nee aennaga edhdhae
490,are you scared,hanjikae bantharava,ninnaga edhdhae edhdhae
491,you cant do anything if you are scared,hanjilae ondhu maaduthu mudiya,ninnaga appara santhu ellae
492,look at your face,mussiya noodu,ninnaga noodithae
493,you should definetely come here,elliga kandipa banthu budu,elliga banthubuttae
494,what did you do last year,odha varusa aena maadithae,nee aena maadithae
495,today is saturday,endhdhu sani jaenna,sani jaenna
496,we came,aenga banthu buttayu,nanga banthubutta
497,he came,emma banthubutta,emma banthubutta
498,who did not come,dhara bapilae,nee bannae
499,nobody came,dhaaru bapilae,nanga banthu ellae
500,i will call you,na ninna korchinae,na ninnava noodithae
501,i should wash my clothes,battae oguputhu,battae ollenge baeda
502,wash the plate,batlu thogibudu,battae ondhu kudathu
503,did you think of me,aennava nenachithiya,ninnaga aennava noodithae
504,i didnt think of you,ninnava nenachulae,ninnava na ninnava noodithae
505,i can eat rice,kuu thinnae,kuu thindharae
506,i wont eat rice,kuu thimbuthu ellae,kuu thinnae
507,i dont have rice,kuu ellae,kuu ellae
508,i dont have ball,saendu ellae,battae hadathae
509,do you have dress,battae hadathaya,habba ollenge hadathae
510,tomorrow we will play,naaiga nalaba,naaiga nalaba
511,tomorrow is wednesday,naaiga bodhavaara jaenna,nennae santhu jaenna
512,tomorrow is a good day,naaiga olleya jaenna,nangiga olleya jaenna
513,today is my birthday,endhdhu aenna utti jaenna,nangiga aenna utti jaenna
514,day before yesterday is my birthday,maranae aenna utti jaenna,maranae aenna utti jaenna
515,black color will be so nice,kappu banna ollenge attra,kai appara sooka attra
516,yellow color will be so nice,harchina banna sooka attra,jaennagu banna sooka attra
517,i have two rupees,aenna sarae aeradu uripi hadathae,aenna sarae aeradu uripi hadathae
518,i have four rupees,aenna sarae naaku uripi hadathae,aenna sarae naaku uripi hadathae
519,i have fifty rupees,aenna sarae haivathu uripi hadathae,aenna sarae haivathi uripi hadathae
520,i have eighty rupees,aenna sarae eambathu uripi hadathae,aenna sarae eambathi mooru uripi hadathae
521,i have two hundred rupees,aenna sarae erranooru uripi hadathae,aenna sarae eranooru uripi hadathae
522,i have three hundred and one rupees,aenna sarae munoora ondhu uripi hadathae,aenna sarae munoora ondhu uripi hadathae
523,i have three thousand rupees,aenna sarae mooru savvira uripi hadathae,aenna sarae mooru saavira uripi hadathae
524,i have seven thousand rupees,aenna sarae ezzhu saavira uripi hadathae,aenna sarae ezzhu saavira uripi hadathae
525,i have four lakhs,aenna sarae naaku lacha hadathae,aenna sarae naaku lacha hadathae
526,i have four crore,aenna sarae naaku koodi hadathae,aenna sarae naaku koodi hadathae
527,i have thirty one rupees,aenna sarae moovathi ondhu uripi hadathae,aenna sarae moovathi ondhu uripi hadathae
528,i have thirty five rupees,aenna sarae moovathi haithu uripi hadathae,aenna sarae moovathi haithu uripi hadathae
529,i have fourty one rupees,aenna sarae nalvathi ondhu uripi hadathae,aenna sarae nalavathi ondhu uripi hadathae
530,i have fourty seven rupees,aenna sarae nalavathi ezzhu uripi hadathae,aenna sarae nalavathi ezzhu uripi hadathae
531,i have fifty one rupees,aenna sarae haivathi ondhu uripi hadathae,haivathi ondhu uripi hadathae
532,i have fifty three rupees,aenna sarae haivathi mooru uripi hadathae,aenna sarae haivathi mooru uripi hadathae
533,i have fifty five rupees,aenna sarae haivathi haithu uripi hadathae,aenna sarae haithu uripi hadathae
534,i have sixty one rupees,aenna sarae haravathi ondhu uripi hadathae,aenna sarae haravathi ondhu uripi hadathae
535,i have ninty eight rupees,aenna sarae thombathi eattu uripi hadathae,aenna sarae thombathi eattu uripi hadathae
536,i have two hundred and one rupees,aenna sarae eranoora ondhu uripi hadathae,aenna sarae eranoora ondhu uripi hadathae
537,i have two hundred and seven rupees,aenna sarae eranoora ezzhu uripi hadathae,aenna sarae eranoora ezzhu uripi hadathae
538,i have three hundred and four rupees,aenna sarae munoora naaku uripi hadathae,aenna sarae munoora naaku uripi hadathae
539,i have three hundred and five rupees,aenna sarae munoora haithu uripi hadathae,aenna sarae munoora haithu uripi hadathae
540,i have three hundred and seven rupees,aenna sarae munoora ezzhu uripi hadathae,aenna sarae munoora ezzhu uripi hadathae
541,i have four hundred and nine rupees,aenna sarae nanoora ombathu uripi hadathae,aenna sarae nanoora ombathu uripi hadathae
542,i have five hundred and three rupees,aenna sarae hainoora mooru uripi hadathae,aenna sarae hainoora mooru uripi hadathae
543,i have five hundred and four rupees,aenna sarae hainoora naaku uripi hadathae,aenna sarae hainoora naaku uripi hadathae
544,i have five hundred and seven rupees,aenna sarae hainoora ezzhu uripi hadathae,aenna sarae hainoora ezzhu uripi hadathae
545,i have seven hundred and two rupees,aenna sarae ezzhnoora aeradu uripi hadathae,aenna sarae ezzhnoora aeradu uripi hadathae
546,i have eight hundred and eight rupees,aenna sarae eatnoora eattu uripi hadathae,aenna sarae eatnoora eattu uripi hadathae
547,i have nine hundred and one rupees,aenna sarae ombainoora ondhu uripi hadathae,aenna sarae ombainoora ondhu uripi hadathae
548,i have nine hundred and two rupees,aenna sarae ombainoora aeradu uripi hadathae,aenna sarae ombainoora aeradu uripi hadathae
549,i have nine hundred and six rupees,aenna sarae ombainoora haaru uripi hadathae,aenna sarae ombainoora haaru uripi hadathae
550,i have thousand and seven rupees,aenna sarae saavirtha ezzhu uripi hadathae,aenna sarae saavirtha ezzhu uripi hadathae
551,i have thousand and nine rupees,aenna sarae saavirtha ombathu uripi hadathae,aenna sarae saavirtha ombathu uripi hadathae
552,i have thousand and twenty eight rupees,aenna sarae saavirtha eppathi eattu uripi hadathae,aenna sarae saavirtha eppathi eattu uripi hadathae
553,i have thousand and fourty three rupees,aenna sarae saavirtha nalavathi mooru uripi hadathae,aenna sarae saavirtha nalavathi mooru uripi hadathae
554,i have thousand and fourty eight rupees,aenna sarae saavirtha nalavathi eattu uripi hadathae,aenna sarae saavirtha nalavathi eattu uripi hadathae
555,i have thousand and fifty five rupees,aenna sarae saavirtha haivathi haithu uripi hadathae,aenna sarae saavirtha haithu uripi hadathae
556,i have thousand and fifty six rupees,aenna sarae saavirtha haivathi haaru uripi hadathae,aenna sarae saavirtha haivathi haaru uripi hadathae
557,i have thousand and eighty seven rupees,aenna sarae saavirtha eambathi ezzhu uripi hadathae,aenna sarae saavirtha eambathi ezzhu uripi hadathae
558,i have thousand and ninty two rupees,aenna sarae saavirtha thombathi aeradu uripi hadathae,aenna sarae saavirtha thombathi aeradu uripi hadathae
559,i have thousand and ninty eight rupees,aenna sarae saavirtha thombathi eattu uripi hadathae,aenna sarae saavirtha thombathi eattu uripi hadathae
560,did you drink milk,haalu kudathara,haalu kudathara
561,do you want to drink milk,haalu kudathariya,haalu kudathara
562,do you have milk,haalu attrava,haalu hadathaya
563,i dont like milk,haalu aennaga ediya,haalu haalu ellae
564,do you like milk,ninnaga haalu edatharava,haalu edathara
565,do you have curd,majigae ellae ya,majigae ellae
566,what does she want,ema ga aena baeku,emma baasae hadathae
567,he doesnt want anything,hamaga ondhu baeda,emma baasae hadathae
568,i wont look this,edhuna na nooduthu ellae,edhuna nooduthu ellae
569,i havent looked at this,edhuna na noodavae ellae,edhuna nooduthu ellae
570,look at that,adhuna noodu,edhuna noodu
571,i wont look that,adhuna na nooduthu ellae,na ninnaga nooduthu ellae
572,dont look at him,emana nooda baeda,hamana nooduthu ellae
573,dont ever look at her,havana noodavae baeda,havana nooda baeda
574,what you are going to do,aena maaduthuga oorae,nee aena maadirae
575,there is a lot of things to do,maaduthuga appara hadathae,ennu appara sarae appara hadathae
576,there is less water in this river,ei halla na dhesaga neeru tha hadathae,ei halla na dhesaga neeru tha hadathae
577,there is full of water in this river,ei halla thumba neeru hadathae,ei halla na dhesaga neeru hadathae
578,there are fiches in this river,ei halla na meenu hadathae,ei halla na dhesaga neeru hadathae
579,there are ducks in this river,ei halla na vaathu hadathae,ei halla na dhesaga neeru hadathae
580,what was the reason for this,edhuga aena karana,edhuna aena maadithae
581,you are the reason for this,nee tha edhuga karaenna,ninnaga edhdhae edhdhae
582,you dont beleive him,nambithigae emmana,nee hamana noodithae
583,he is a cheater,emma aemaathu guli,emma appara koosu
584,tell me if you dont want to come,baputhu mudiyati aegi budivi,ninnaga aennava baeda
585,this lamp is very small,edhu appara kunna dhevigae,ei gelcha appara kunnuthu
586,we have two cats,aenna sarae aeradu kothi hadathae,aenga sarae aerudu koosu
587,they are not celebrating festival,habba maaduthu ellae,habba jaennaga edhdhae
588,day before yesterday i had two exams,maranae aennaga aeradu parchae hattuthu,maranae aennaga aeradu parchae
589,i will buy two new shirts,na aeradu osa kamisu esinae,na aella ollenge edhdhae
590,green color will be so good,pachai banna sooka attra,edhu banna sooka attra
591,dont play with mud,mannu koda nalaya baeda,mudi neeru ollenge baeda
592,do you have scissors,kathiri kool hadathaya,ninnaga koosu hadathae
593,shall we play,nanga nalaba va,nalaba nalaba
594,this chips is very nice,ei muruku ollenge hadathae,ei ollenge hadathae
595,why this year the festival is cancelled,aeka ei varsha habba maaduthu ellae,ei varusa aennaga ettu maaduthu ellae
596,i have seven hundred and three rupees,aenna sarae ezzhnoora mooru uripi hadathae,aenna sarae ezzhnoora mooru uripi hadathae
597,what do they call it,edhuna aena aenthu korchiyara,edhuna aena baeku
598,i have written six songs,na haaru pada noodithae,na haaru pada haaru ellae
599,tomorrow what will you do,naaiga aena madirae nee,naaiga aena maadirae
600,i have twenty one rupees,aenna sarae eppathi ondhu uripi hadathae,aenna sarae eppathi ondhu uripi hadathae
601,you should try this and see,nee edhuna muyarchi maadi nooduthu,edhuna nooduthu ellae
602,i have two hundred and nine rupees,aenna sarae eranoora ombathu uripi hadathae,aenna sarae eranoora ombathu uripi hadathae
603,i have thousand and two rupees,aenna sarae saavirtha aeradu uripi hadathae,aenna sarae saavirtha aeradu uripi hadathae
604,he troubles us too much,emma appara lollu maadinae,emma appara edhdhae aennaga
605,i have seen you many times,na ninnava appara theruku noodithae,na ninnava noodithae
606,is this your dog,edhu ninga nae ya,ei nae ninna ninna edhdhae
607,mirror is too clean,kannadi palichunthu hadathae,nee appara sooka hadathae
608,wash the clothes,battae oguthu budu,battae ollenge battae
609,hullathi village will be good,hullathi hatti appara sooka attra,hullathi hatti appara sooka attra
610,he is so pitty,hama appara paappa,emma appara kitty
611,i have fourty rupees,aenna sarae nalavathu uripi hadathae,aenna sarae nalavathi uripi hadathae
612,night time it will become so dark,santhu harae appara kathalae aipra,santhu appara kunnuthu
613,we have a cow,aenga sarae dhana hadathae,aenga sarae ondhu dhana hadathae
614,i have six hundred and three rupees,aenna sarae haarnoora mooru uripi hadathae,aenna sarae haarnoora mooru uripi hadathae
615,what is your name,ninga hesaru aena,ninnaga hesaru aena
616,what are you doing now,aena maadinthae nee ega,ninnaga aena maadirae
617,what is the dinner,santhu ettu aena,santhu ettu aena
618,this brother married two times,ei anna ga aerudu madhuvae haipta,ei naaiga ninna koosu maadithae
619,what did you do last month,odha thinguva aena maadithae,aena maadithae aena maadithae
620,tell me if you dont want to come,baputhu mudiyati aegi budivi,ninnaga aennava baeda
621,i will definetely buy this for you,ninnaga na kandipa esi thannae,ninnaga edhuna na ninnava edhdhae
622,who called me,aennava dhara korchithuru,aennaga aennava edhdharae
623,your house is too small,ninga mannae appara kunnuthu,nee appara kunnuthu appara kunnuthu
624,tell me a story,ondhu kadhae aegu,aennaga ondhu ellae
625,my socks is missing,aenna maejoodu kaenae thava,ninna sarae appara kasta
626,i have twenty rupees,aenna sarae eppathu uripi hadathae,aenna sarae eppathi uripi hadathae
627,what is the price for tomatto,dhomba balae aesaga,tomatto aena baeku
628,which standard are you studying,nee aesavathu katharae,nee aesaga nee aesaga
629,where is this hospital located,ei haspithiri aelliya hadathae,ei haspithiri hadathae
630,bus should come fast,bandi manakana bantharae sari,manakana bantharae banthara
631,we should teach them all this,nanga tha edhu aellava aegi kodathu,nee aeka tha aeguthu aegu
632,come to the ground we will play,hattnae ga ba nalaba,nalaba nalaba
633,badaga old songs will be too good,badaga palaya paatu aella ennu sooka attra,badaga ollenge appara sooka attra
634,we should drink milk daily,haalu jaennagu kuduputhu,haalu kuduputhu
635,i have ten lakhs,aenna sarae hathu lacha hadathae,aenna sarae hathu lacha hadathae
636,tear the dress,battae ya keeru,battae ollenge battae
637,here it smells very bad,elliya appara vaasaenae banthara,ei halla appara sooka hadathae
638,did you sleep well,orruku ollenge banthutha,nee ollenge edhdhae
639,you should study well,nee ollenge kaputhu,nee ollenge edhdhae
640,this paper is so important,ei kaagitha appara mukkiya,ei vaara appara sooka hadathae
641,i have ninty one rupees,aenna sarae thombathi ondhu uripi hadathae,aenna sarae thombathi ondhu uripi hadathae
642,we should always smile while talking,aeguvavu negathu baasae haadu,ninnaga aeguva ollenge edhdhae
643,my brother has one dog,aenna anna na sarae ondhu nae hadathae,aenga sarae ondhu kooda hadathae
644,why didnt you call me,nee aennava aeka korchulae,aennava nee aeka thaputhu ellae
645,tell me one good name,ondhu olliya hesaru aegu,aennaga ondhu ollenge hadathae
646,you need a good heart to be happy,santhoshava ebbuthuga olli manasu attrae podhu,ninnaga ollenge olliya edhdhae
647,is your village is a big,ninga hatti appara thoda hatti ya,ninga hatti appara thoda hatti
648,what to do now,aena maaduthu ega,eni maellae aena maaduthu
649,how are you,nee aethae edhdhae,ninnaga aesaga
650,i dont have any salary,aennaga sambuva aella ondhu ellae,aennaga sarae nooduthu ellae
651,how would i forgot you,na ninnava aethae gaena buttanae,ninnava na ninnava noodithae
652,when did you come,aeguva banthae nee,nee aeguva banthae
653,is it raining,mae oodharava,appara mae
654,bring the scissors,kathiri kool athi ba,koosu ollenge edhdhae
655,i think you dont know him,nee hamana ariyarae maka,nee hamana nooduthu ellae
656,i can ask him,na baekara hamana sarae kaethanae,emma noodithiya
657,he doesnt want anything,hamaga ondhu baeda,emma baasae hadathae
658,bring the needle and thread,sunji nool athi ba,ninna sarae ollenge edhdhanae
659,we have one black cow,aenga sarae ondhu kappu dhana hadathae,aenga sarae ondhu koodi hadathae
660,already its too late,egavae appara jaama aipta thava,ninnaga appara jaama edhdhae
661,they came,havaka banthu buttru,evaka banthu butta
662,today is your village festival,ninga hatti ya endhdhu habba va,ninga hatti habba hatti habba
663,do you have work tommorrow,naaiga gelcha hadathaya,naaiga ollenge hadathae
664,take the vechile we will go somewhere,bandi aethu aelliyachi oppa,bandi oppiliya oppiliya
665,dont do naughty things,appara thimuru maada baeda,ninnaga appara baeda
666,what are you doing,aena maadirae,ninnaga aena maadirae
667,they are good peoples,evaka olliyavaka,evaka appara olliya olliya
668,i dont have rice,kuu ellae,kuu ellae
669,nobody is coming,dhaaru baputhu ellae,nangiga banthu ellae
670,its time go home quickly,jaama aipta manakana manaega ogu,manakana manaega manaega manaega manaega manaega
671,tomorrow is wednesday,naaiga bodhavaara jaenna,nennae santhu jaenna
672,i have thousand and sixty six rupees,aenna sarae saavirtha haravathi haaru uripi hadathae,aenna sarae saavirtha haravathi haaru uripi hadathae
673,dont learn for blindly,buruvae oodha kudathu,nee ollenge edhdhae
674,dont be scared,hanjathae eru,nee aennaga edhdhae
675,will he go,hama onnava,emma banthu butta
676,you started again,haramichibutaya nee thiriki,nee ollenge edhdhae
677,i have sixty three rupees,aenna sarae haravathi mooru uripi hadathae,aenna sarae haravathi mooru uripi hadathae
678,i should work,gelcha maadinae,gelcha maadu
679,i have eighty two rupees,aenna sarae eambathi aeradu uripi hadathae,aenna sarae eambathi aeradu uripi hadathae
680,this chips is very nice,ei muruku ollenge hadathae,ei ollenge hadathae
681,dont repeat this ever again,eni maellae ethae maka maadirae hasagatha nee,edhuna aennaga ollenge edhdhae
682,nobody is good as him,emmana maakae koosu dharu ellae,emma na ninnava noodithae
683,are you scared,hanjikae bantharava,ninnaga edhdhae edhdhae
684,need to buy a new slippers,osa mettu ondhu esothu,nee ollenge edhdhae
685,why are you telling like this,aeka ethae aegirae,nee aeka ethae aeka edhdhae
686,i wont tell anything,edhuga maelae na ondhu aegarae,eni maellae na ninnaga edhdhae
687,he use a lot of blame words while speaking,ema appara hollatha baasae hadina,emma baasae hadathae maaduthu ellae
688,he likes simbu,emaga simbu tha edathara,simbu aennaga edathara
689,dont mug it up,manapaada maada beda,edhuna ollenge edhdhae
690,i will send you that one,na ninnaga adhuna kaeginae,na ninnava noodithae
691,next year i am going to buy a vechile,na hadatha varusa ondhu bandi esinae,na osi osi osi jaama esithae
692,i having liitle trouble,na siti kasta thogae edhae,appara kasta thoduthu ellae
693,we came,aenga banthu buttayu,nanga banthubutta
694,what did you do this year,ei varusa aena maadithae,ei varusa aena maadithae
695,you dont show off,nee bandha maada beda,nee bandi ollenge maadithae
696,peel the potato,gaasu keesu,battae ollenge edhdhae
697,what is your name,ninga hesaru aena,ninnaga hesaru aena
698,where this vechile goes,e bandi alliga oora,ei bandi oppa
699,i curse you,na ninnaga saapa hakinae,ninnaga na ninnava noodithae
700,i know your father,na ninna appaenna harathae,ninna anna na na ninna noodithae
701,i like rajini,aennaga rajini tha edathara,rajini appara edathara
702,what is your favourite food,ninnaga edatha ettu aena,ninnaga aena ettu edathara
