,input_en,true_ba,output
346,i forgot what i should tell,na aena aeguthu aendhdhu gaena buttuptae,na aena aeguthu aendhdhu gaena buttuptae
347,the house is dirty need to sweep the house,maennae appara gijji gijji kasa bakaathu,maennae appara gijji gijji kasa bakaathu
348,hear this song  is fantastic,ei paata ha kaethu noodu bayangara va hadathae,ei paata ha kaethu noodu sooka hadathae
349,dont tell like this again,eni maellae ethae aella aega baeda,eni maellae ethae aella aega baeda
350,i will talk to him,na hamana sarae baasae hadinae,na hamana sarae baasae hadinae
351,i dont like this,aenaga edhdhu suthava edipilae,aenaga edhdhu suthava edipilae
352,you know raj from your village,ninga hatti raj na harathaya,ninga hatti raj na harathaya
353,what is your name i dont know you,na ninnava arriyarae thava ninna hesaru aena,na ninnava arriyarae thava ninna hesaru aena
354,i will send you that one,na ninnaga adhuna kaeginae,na ninnaga adhuna kaeginae
355,legs are paining because of running,odi odi kaalu aella urchira,odi odi odi kaalu aella urchira
356,be a little hontest,sittitu havathu manasatchi oda aegu,sittitu havathu manasatchi oda aegu
357,your hands are so tiny,ninnuthu appara kunna kai thava,ninnuthu appara kunna kai thava
358,you have a big face,ninna moga appara thoduthu,ninna moga appara thoduthu
359,brother tell something,anna aedhachi aegu,anna aedhachi aegu
360,i need to prepare tomorrow i have an exam,naaiga parchae hadathae na odhathu,naaiga parchae hadathae na aennaga
361,promise i cant tolerate it anymore,edhuga maellaee aennala sathiyava mudiya,edhuga maellaee aennala sathiyava mudiya
362,do you have a fever,sangata va ninnaga,sangata va ninnaga
363,do you know jairam,jairam amba hamana nee harathaya,jairam amba hamana nee harathaya
364,we both studied together,nanga aerada ottuga tha kattha,nanga aerada ottuga tha kattuthu
365,i though something to tell,na ondhu ossaennae maadi beethuthae,na ondhu ossaennae maadi beethuthae
366,prepare some hot coffee,surakana osi kaapi be,surakana osi kaapi be
367,already its too late,egavae appara jaama aipta thava,egavae appara jaama aipta thava
368,we can only share secrets with the well known person,ollenge haratha havaka sarae mattu tha ragasiya aegakku,ollenge haratha sarae mattu tha havaka aeginae
369,drinking hot water is good for health,bessi neeru kudatharae sangata bara,bessi neeru kudatharae ollithu
370,it is raining heavy today,endhdhu appara mae oodhara,endhdhu appara mae oodhara
371,the cow is worshiped as a god by badagas,dhana badagaruga soomi maakae,dhana naanu appara soomi kudathu
372,tomorrow what will you do,naaiga aena madirae nee,naaiga aena aena maadirae
373,i dont even like this,aennaga edhu sittitu saethi edipillae,aennaga edhu suthava edhu suthava edipilae
374,dont do anything be quite,ondhu maada gana sapaena eru,ondhu maada gana sapaena eru
375,whatever we do we will be weak in studies,nangaga aena tha maadiliyu paadipu bara,nangaga aena tha maadithae tha maadithae
376,where did everyone go,aella aelliga oiypru,aella aelliga oiypru
377,where did everyone go,aella aelliga oiypru,aella aelliga oiypru
378,at what time your school starts,ningaga pallitu aesu mani ga,ningaga pallitu aesu maniga pallitu
379,did you eat full or less,jaasthi thindhaya ellae kammi thindhaya,jaasthi thindhaya ellae kammi thindhaya
380,what is your name,ninga hesaru aena,ninga hesaru aena
381,what are you studying,ninga aena kathari,ninga aena kathana
382,its too late,appara jaama haipta,appara jaama haipta
383,i know you,ninnava harathae,ninnava harathae
384,what are you doing,aena maadirae,aena maadirae
385,what is your son studying,koosu aena kathana,koosu aena kathana
386,it is too  boring,appara asundu daw edhu,appara asundu appara asundu
387,comeon comeon,baarivi baarivi,baarivi baarivi
388,come inside the house,manae ogasu baarivi,manae ogasu baarivi
389,this is so difficult,edhu appara kastava hadathae ae,edhu appara kasta thava edhu
390,what shall we do now,nanga aena ji maaduthu,nanga aena ji maaduthu
391,what are you doing,aena maadirae,aena maadirae
392,go there,halliga ogu,halliga ogu
393,you should tell,nee tha aeguthu,nee tha aeguthu
394,you know me right,nee aennava harathae thanae,nee aennava harathae thanae
395,you didnt go to village,hatti ga oppiliya nee,hatti ga oppiliya nee
396,give me some if you have,hatlae osi tharika,osi tharika attrae osi tharika
397,all gods are same,aella soomi yu ondhu tha,aella soomi yu ondhu tha
398,we should teach them all this,nanga tha edhu aellava aegi kodathu,nanga tha edhu aellava aegi kodathu
399,will you teach me,nee aennaga aegi thantharaya,nee aennaga aegi thantharaya
400,i havent seen you so far,na enna gata ninnava noodithae ellae thava,na enna gata ninnava noodithae ellae thava
401,do you work here,nee elli gelcha madiriya,nee elli gelcha maadirae
402,where did you study,nee aelli kathae,nee aelliga ollenge edhdharae
403,you started again,haramichibutaya nee thiriki,haramichibutaya nee thiriki
404,still you did not started it,na ennu hadhuna harambichavae ellae,ningaga ennu hadathae hariyarae
405,its okay tomorrow we will see,paravalae budu naaiga nooda,paravalae naaiga nooda
406,okay i will leave,seri na oittu bannae,ollenge na oittu bannae
407,yesterday night i was not able to sleep,nennae santhu orrukae bapilae,nennae santhu orruku bapilae
408,yesterday i met your mother,nennae na ninna amma na noodithae,nennae na ninna amma na noodithae
409,tomorrow i have school not today,naaiga tha pallitu endhdhu ellae,naaiga tha pallitu endhdhu ellae
410,tomorrow we will meet your father,naaiga ninna appa na nooda,naaiga ninna appa na nooda
411,tomorrow we will meet your mother,naaiga ninna amma na nooda,naaiga ninna amma na nooda
412,tomorrow you meet my sister,naaiga aenna amme ya noodu,naaiga aenna amme ya noodu
413,which game you like the most,ninnaga aena nalavata appara edathara,ninnaga aena nalavata appara edathara
414,which fruit you like the most,ninnaga aena hannu appara edathara,ninnaga aena hannu appara edathara
415,after sometime we will meet,jaamai nanga nooda,jaamai nanga nooda
416,oh why is this happening,ovae edhu aena eththae hara,edhu aena eththae hara
417,what is the name of your village president,ninga hatti gowda na hesaru aena,ninga hatti gowda na hesaru aena
418,this shirt is so nice,e kamissu appara sooka hadathae,e kamisu appara sooka hadathae
419,come lets go to my home,ba aenga maenaga oittu bapa,ba aenga maenaga oittu bapa ba
420,drink less,kammi kudi,kammi kudi
421,why didnt you call me,nee aennava aeka korchulae,nee aeka korchulae
422,i havent seen you for many days,ninnava noodi appara jaenna aipta,ninnava noodi appara jaenna aipta
423,that sister is calling you,ninnava ha akka korchiya,ninnava ha akka korchiya
424,this baby girl is so beautiful,e paappa appara sooka edhavae,e koosu appara sooka edhdhavae
425,whose daughter are you,nee dhara hennu,nee dhara hennu
426,im the lion of our village,nanga hatti ya na tha singa,nanga hatti ya na tha hadathae
427,why are you so angry,nee aeka esaga koopa thogae edhdhae,nee aeka esaga koopa thogae edhdhae
428,im the king here,na tha raja elliya,na tha raja elliya
429,did you eat,nee thindhubutaya,nee thindhubutaya
430,lets see what is going to happen,nadatharava aenthu nooduva,nadatharava aenthu noodithae
431,at what time that vechile comes,ha bandi aesu maniga banthara,ha bandi aesu maniga banthara
432,stand here for some time,elli osi jaama nillu,elli osi jaama nillu
433,i buyed a new shirt,na ondhu osa kamisu esithae,na ondhu osa kamisu esinae
434,you are very good guy it seems,nee appara oliya koosu aemba,nee appara oliya koosu aemba
435,today which day,endhdhu aena jaenna,endhdhu ae jaenna
436,can you come,baputhu mudatharava,baputhu mudatharava
437,where this vechile goes,e bandi alliga oora,e bandi alliga oora
438,write fast,manakana baruthu budu,manakana baruthu budu
439,we will go to their village festival,nanga evaka hatti habba ga oopa,nanga evaka hatti habba ga oopa
440,give me a kiss,aennaga ondhu mutha tha,aennaga ondhu mutha tha
441,which actor do you like the most,ae nadigar ninnaga appara edathara,ae nadigar ninnaga appara edathara
442,you should also act well,neeyu ollenge nadachathu,neeyu ollenge nadachathu
443,here there is only dresses for boys,elliya gandu kunnavae battae mattu tha attra,elliya gandu kunnavae battae mattu tha attra
444,that shop will open early in the morning,ha kadaya orukuthu othina tharuthu butara,ha kadaya orukuthu othina tharuthu butara
445,he has so much money,hamana sarae appara hana hadathae,hamana sarae appara hana hadathae
446,i like fried rice,bartha kuu tha aennaga edathara,baratha kuu tha aennaga edathara
447,what is the price for tomatto,dhomba balae aesaga,dhomba balae aesaga
448,i have watched the same thing for so long time,edhuna tha essu jaama noodithae,edhuna tha essu jaama noodithae
449,i have written one song,na ondhu paatu baruthuthae,na ondhu paatu baruthuthae
450,sky is so good today,baanu sooka hadathae endhdhu,baanu sooka hadathae endhdhu
451,day before yesterday i went to school,maranae tha na hatti ga odhae,maranae tha na hatti ga odhae
452,did you spend your whole salary completely,ninna sambuva aella va berikiptaya,ninna sambuva aella va berikiptiya
453,this month salary is not yet credited for me,aennaga ei thinguva sambuva ennu hakulae,aennaga ei thinguva sambuva ennu hakulae
454,i feel happy while listening to this song,e paata kaethara appara santhoshava hadathae,e paata kaethara appara santhoshava hadathae
455,today my whole body is paining,endhdhu odambu aella bayangarava urchira,endhdhu odambu aella urchira
456,is there any other way,baerae dhari ondhu ellaya,baerae dhari ondhu ellaya
457,tomorrow i will wear a new shirt,naaiga osa kamisu ekinae,naaiga osa kamisu ekinae
458,deer fears a lot,maanu appara hanjira,kudathu appara havaka appara havaka
459,i dont know why,na aeka aenthu hariyarae,na aeka aenthu hariyarae
460,i only have this one like that,aenna sarae ethae maakae edhu ondhu mattu tha hadathae,aenna sarae ethae maakae edhu ondhu mattu tha hadathae
461,i fell sleepy while i close my eyes,kanna muchilae orruku banthara aennaga,kanna muchilae orruku banthara aennaga
462,this kid looks like his grandfather,ei koosu thanna iyya na maakae edhdhanae noodu,ei koosu thanna iyya na maakae edhdhanae noodu
463,get a job soon,nee manakana ondhu sambuvaga saeru,nee manakana ondhu sambuvaga saeru
464,i know his suffering,hama na kastava na harathae,hama na kastava na harathae
465,i know everything about him,na hamana pathi aellava harathae,na hamana ariyarae ondhu harathae
466,what did you have for breakfast,orrukuthu aena thindhae,orrukuthu aena thindhae
467,i have nothing to worry about,aennaga aena dhukka,aennaga aena dhukka
468,next week i will come,hadutha vaara bannae,hadutha vaara bannae
469,hullathi is my mothers village,hullathi enna amma na hatti,hullathi enna amma na hatti
470,i know only few peoples in my village,na osi havakava tha harathae aenga hatti ya,na osi havakava tha harathae aenga hatti ya
471,this shirt is too small for me,ei kamisu aechuthu ellae aennaga,ei kamisu aechuthu ellae aennaga
472,he is lazy guy,hama ondhu sombaeri,hama ondhu koosu
473,when is the house warming function,mannae aeguva kichu ottiyara,mannae aeguva kichu ottiyara
474,when is the last exam,kadaisi parachae aeguva,kadaisi parachae aeguva
475,next year i am going to buy a house,na hadatha varusa osa mannae esinae,na hadatha varusa ondhu mannae
476,my socks is missing,aenna maejoodu kaenae thava,aenna maejoodu kaenae thava
477,your socks is in the cupboard,ninna maejoodu halamaari ogasu hadathae noodu,ninna maejoodu halamaari ogasu hadathae noodu
478,dust went inside my eyes,kannuga dhusi budhu butta,kannuga dhusi budhu butta
479,too much wind is blowing,gaai appara beesira,appara baasae hadathae
480,is your vechile is in ground,ninna bandi hattnae ya hadathaya,ninna bandi hadathaya hadathae
481,do you have needle and thread,sunji nool hadathaya ninna sarae,sunji nool hadathaya ninna sarae
482,come here,elliga ba,elliga ba
483,did you sleep well,orruku ollenge banthutha,orruku ollenge banthutha
484,i didnt do the work,gelcha maadulae,gelcha maadulae
485,it would be good if you work,gelcha maadirae seri,gelcha maadirae seri
486,we can go home,manae ga ogaka,manae ga oputhu
487,i am going to see him,na hamana noodinae,na hamana noodinae
488,you dont see him,nee amana nooda beda,nee hamana noodavae
489,dont be scared,hanjathae eru,hanjathae eru
490,are you scared,hanjikae bantharava,hanjikae edhdharaya
491,you cant do anything if you are scared,hanjilae ondhu maaduthu mudiya,hanjilae ondhu maaduthu mudiya
492,look at your face,mussiya noodu,mussiya noodu
493,you should definetely come here,elliga kandipa banthu budu,elliga kandipa banthu budu
494,what did you do last year,odha varusa aena maadithae,odha varusa aena maadithae
495,today is saturday,endhdhu sani jaenna,endhdhu sani jaenna
496,we came,aenga banthu buttayu,aenga banthu buttru
497,he came,emma banthubutta,emma banthubutta
498,who did not come,dhara bapilae,dhara bapilae
499,nobody came,dhaaru bapilae,dhaaru bapilae
500,i will call you,na ninna korchinae,na ninnava korchinae
501,i should wash my clothes,battae oguputhu,battae oguputhu
502,wash the plate,batlu thogibudu,batlu thogibudu
503,did you think of me,aennava nenachithiya,aennava nenachithiya
504,i didnt think of you,ninnava nenachulae,ninnava nenachulae
505,i can eat rice,kuu thinnae,kuu thinnae
506,i wont eat rice,kuu thimbuthu ellae,kuu thimbuthu ellae
507,i dont have rice,kuu ellae,kuu ellae
508,i dont have ball,saendu ellae,saendu ellae
509,do you have dress,battae hadathaya,battae hadathaya
510,tomorrow we will play,naaiga nalaba,naaiga nalaba
511,tomorrow is wednesday,naaiga bodhavaara jaenna,naaiga bodhavaara jaenna
512,tomorrow is a good day,naaiga olleya jaenna,naaiga olleya jaenna
513,today is my birthday,endhdhu aenna utti jaenna,endhdhu aenna utti jaenna
514,day before yesterday is my birthday,maranae aenna utti jaenna,maranae aenna utti jaenna
515,black color will be so nice,kappu banna ollenge attra,kappu banna sooka attra
516,yellow color will be so nice,harchina banna sooka attra,harchina banna sooka attra
517,i have two rupees,aenna sarae aeradu uripi hadathae,aenna sarae aeradu uripi hadathae
518,i have four rupees,aenna sarae naaku uripi hadathae,aenna sarae naaku uripi hadathae
519,i have fifty rupees,aenna sarae haivathu uripi hadathae,aenna sarae haivathu uripi hadathae
520,i have eighty rupees,aenna sarae eambathu uripi hadathae,aenna sarae eambathu uripi hadathae
521,i have two hundred rupees,aenna sarae erranooru uripi hadathae,aenna sarae eranooru uripi hadathae
522,i have three hundred and one rupees,aenna sarae munoora ondhu uripi hadathae,aenna sarae munoora ondhu uripi hadathae
523,i have three thousand rupees,aenna sarae mooru savvira uripi hadathae,aenna sarae mooru savvira uripi hadathae
524,i have seven thousand rupees,aenna sarae ezzhu saavira uripi hadathae,aenna sarae ezzhu saavira uripi hadathae
525,i have four lakhs,aenna sarae naaku lacha hadathae,aenna sarae naaku lacha hadathae
526,i have four crore,aenna sarae naaku koodi hadathae,aenna sarae naaku koodi hadathae
527,i have thirty one rupees,aenna sarae moovathi ondhu uripi hadathae,aenna sarae moovathi ondhu uripi hadathae
528,i have thirty five rupees,aenna sarae moovathi haithu uripi hadathae,aenna sarae moovathi haithu uripi hadathae
529,i have fourty one rupees,aenna sarae nalvathi ondhu uripi hadathae,aenna sarae nalvathi ondhu uripi hadathae
530,i have fourty seven rupees,aenna sarae nalavathi ezzhu uripi hadathae,aenna sarae nalavathi ezzhu uripi hadathae
531,i have fifty one rupees,aenna sarae haivathi ondhu uripi hadathae,aenna sarae haivathi ondhu uripi hadathae
532,i have fifty three rupees,aenna sarae haivathi mooru uripi hadathae,aenna sarae haivathi mooru uripi hadathae
533,i have fifty five rupees,aenna sarae haivathi haithu uripi hadathae,aenna sarae haivathi haithu uripi hadathae
534,i have sixty one rupees,aenna sarae haravathi ondhu uripi hadathae,aenna sarae haravathi ondhu uripi hadathae
535,i have ninty eight rupees,aenna sarae thombathi eattu uripi hadathae,aenna sarae thombathi eattu uripi hadathae
536,i have two hundred and one rupees,aenna sarae eranoora ondhu uripi hadathae,aenna sarae eranoora ondhu uripi hadathae
537,i have two hundred and seven rupees,aenna sarae eranoora ezzhu uripi hadathae,aenna sarae eranoora ezzhu uripi hadathae
538,i have three hundred and four rupees,aenna sarae munoora naaku uripi hadathae,aenna sarae munoora naaku uripi hadathae
539,i have three hundred and five rupees,aenna sarae munoora haithu uripi hadathae,aenna sarae munoora haithu uripi hadathae
540,i have three hundred and seven rupees,aenna sarae munoora ezzhu uripi hadathae,aenna sarae munoora ezzhu uripi hadathae
541,i have four hundred and nine rupees,aenna sarae nanoora ombathu uripi hadathae,aenna sarae nanoora ombathu uripi hadathae
542,i have five hundred and three rupees,aenna sarae hainoora mooru uripi hadathae,aenna sarae hainoora mooru uripi hadathae
543,i have five hundred and four rupees,aenna sarae hainoora naaku uripi hadathae,aenna sarae hainoora naaku uripi hadathae
544,i have five hundred and seven rupees,aenna sarae hainoora ezzhu uripi hadathae,aenna sarae hainoora ezzhu uripi hadathae
545,i have seven hundred and two rupees,aenna sarae ezzhnoora aeradu uripi hadathae,aenna sarae ezzhnoora aeradu uripi hadathae
546,i have eight hundred and eight rupees,aenna sarae eatnoora eattu uripi hadathae,aenna sarae eatnoora eattu uripi hadathae
547,i have nine hundred and one rupees,aenna sarae ombainoora ondhu uripi hadathae,aenna sarae ombainoora ondhu uripi hadathae
548,i have nine hundred and two rupees,aenna sarae ombainoora aeradu uripi hadathae,aenna sarae ombainoora aeradu uripi hadathae
549,i have nine hundred and six rupees,aenna sarae ombainoora haaru uripi hadathae,aenna sarae ombainoora haaru uripi hadathae
550,i have thousand and seven rupees,aenna sarae saavirtha ezzhu uripi hadathae,aenna sarae saavirtha ezzhu uripi hadathae
551,i have thousand and nine rupees,aenna sarae saavirtha ombathu uripi hadathae,aenna sarae saavirtha ombathu uripi hadathae
552,i have thousand and twenty eight rupees,aenna sarae saavirtha eppathi eattu uripi hadathae,aenna sarae saavirtha eppathi eattu uripi hadathae
553,i have thousand and fourty three rupees,aenna sarae saavirtha nalavathi mooru uripi hadathae,aenna sarae saavirtha nalavathi mooru uripi hadathae
554,i have thousand and fourty eight rupees,aenna sarae saavirtha nalavathi eattu uripi hadathae,aenna sarae saavirtha nalavathi eattu uripi hadathae
555,i have thousand and fifty five rupees,aenna sarae saavirtha haivathi haithu uripi hadathae,aenna sarae saavirtha haivathi haithu uripi hadathae
556,i have thousand and fifty six rupees,aenna sarae saavirtha haivathi haaru uripi hadathae,aenna sarae saavirtha haivathi haaru uripi hadathae
557,i have thousand and eighty seven rupees,aenna sarae saavirtha eambathi ezzhu uripi hadathae,aenna sarae saavirtha eambathi ezzhu uripi hadathae
558,i have thousand and ninty two rupees,aenna sarae saavirtha thombathi aeradu uripi hadathae,aenna sarae saavirtha thombathi aeradu uripi hadathae
559,i have thousand and ninty eight rupees,aenna sarae saavirtha thombathi eattu uripi hadathae,aenna sarae saavirtha thombathi eattu uripi hadathae
560,did you drink milk,haalu kudathara,haalu kudathara
561,do you want to drink milk,haalu kudathariya,haalu kudathariya
562,do you have milk,haalu attrava,haalu attrava
563,i dont like milk,haalu aennaga ediya,haalu aennaga ediya
564,do you like milk,ninnaga haalu edatharava,ninnaga haalu edatharava
565,do you have curd,majigae ellae ya,majigae ellae ya
566,what does she want,ema ga aena baeku,ema ga aena baeku
567,he doesnt want anything,hamaga ondhu baeda,hamaga ondhu baeda
568,i wont look this,edhuna na nooduthu ellae,edhuna na nooduthu ellae
569,i havent looked at this,edhuna na noodavae ellae,edhuna na noodavae ellae
570,look at that,adhuna noodu,edhuna noodu
571,i wont look that,adhuna na nooduthu ellae,adhuna na nooduthu ellae
572,dont look at him,emana nooda baeda,hamana nooda baeda
573,dont ever look at her,havana noodavae baeda,havana noodavae baeda
574,what you are going to do,aena maaduthuga oorae,aena maadirae
575,there is a lot of things to do,maaduthuga appara hadathae,maaduthuga appara hadathae
576,there is less water in this river,ei halla na dhesaga neeru tha hadathae,ei halla na dhesaga neeru tha hadathae
577,there is full of water in this river,ei halla thumba neeru hadathae,ei halla thumba neeru hadathae
578,there are fiches in this river,ei halla na meenu hadathae,ei halla na meenu hadathae
579,there are ducks in this river,ei halla na vaathu hadathae,ei halla na dhesaga hadathae
580,what was the reason for this,edhuga aena karana,edhuga aena hara
581,you are the reason for this,nee tha edhuga karaenna,nee tha edhuga maadirae
582,you dont beleive him,nambithigae emmana,nambithigae emmana
583,he is a cheater,emma aemaathu guli,emma aemaathu tha
584,tell me if you dont want to come,baputhu mudiyati aegi budivi,baputhalae ninnaga aegu
585,this lamp is very small,edhu appara kunna dhevigae,edhu appara kunna dhevigae
586,we have two cats,aenna sarae aeradu kothi hadathae,aenna sarae aeradu kothi hadathae
587,they are not celebrating festival,habba maaduthu ellae,habba maaduthu ellae
588,day before yesterday i had two exams,maranae aennaga aeradu parchae hattuthu,maranae aennaga aeradu parchae
589,i will buy two new shirts,na aeradu osa kamisu esinae,na aeradu osa kamisu esinae
590,green color will be so good,pachai banna sooka attra,pachai banna sooka attra
591,dont play with mud,mannu koda nalaya baeda,mannu koda nalaya baeda
592,do you have scissors,kathiri kool hadathaya,kathiri kool hadathaya
593,shall we play,nanga nalaba va,nanga nalaba va
594,this chips is very nice,ei muruku ollenge hadathae,ei muruku ollenge hadathae
595,why this year the festival is cancelled,aeka ei varsha habba maaduthu ellae,aeka ei varsha habba maaduthu ellae
596,i have seven hundred and three rupees,aenna sarae ezzhnoora mooru uripi hadathae,aenna sarae ezzhnoora mooru uripi hadathae
597,what do they call it,edhuna aena aenthu korchiyara,edhuna aena aenthu korchiyara
598,i have written six songs,na haaru pada noodithae,na haaru pada noodithae
599,tomorrow what will you do,naaiga aena madirae nee,naaiga aena aena maadirae
600,i have twenty one rupees,aenna sarae eppathi ondhu uripi hadathae,aenna sarae eppathi ondhu uripi hadathae
601,you should try this and see,nee edhuna muyarchi maadi nooduthu,nee edhuna muthi noodithae
602,i have two hundred and nine rupees,aenna sarae eranoora ombathu uripi hadathae,aenna sarae eranoora ombathu uripi hadathae
603,i have thousand and two rupees,aenna sarae saavirtha aeradu uripi hadathae,aenna sarae saavirtha aeradu uripi hadathae
604,he troubles us too much,emma appara lollu maadinae,emma appara lollu maadinae
605,i have seen you many times,na ninnava appara theruku noodithae,na ninnava appara theruku noodithae
606,is this your dog,edhu ninga nae ya,edhu ninga nae ya
607,mirror is too clean,kannadi palichunthu hadathae,kadai appara ollenge hadathae
608,wash the clothes,battae oguthu budu,battae oguthu budu
609,hullathi village will be good,hullathi hatti appara sooka attra,hullathi hatti ollenge attra
610,he is so pitty,hama appara paappa,emma appara paappa
611,i have fourty rupees,aenna sarae nalavathu uripi hadathae,aenna sarae nalavathu uripi hadathae
612,night time it will become so dark,santhu harae appara kathalae aipra,santhu harae appara kasta aipra
613,we have a cow,aenga sarae dhana hadathae,aenga sarae dhana hadathae
614,i have six hundred and three rupees,aenna sarae haarnoora mooru uripi hadathae,aenna sarae haarnoora mooru uripi hadathae
615,what is your name,ninga hesaru aena,ninga hesaru aena
616,what are you doing now,aena maadinthae nee ega,aena maadinthae nee ega
617,what is the dinner,santhu ettu aena,santhu ettu aena
618,this brother married two times,ei anna ga aerudu madhuvae haipta,ei anna ga aerudu madhuvae haipta
619,what did you do last month,odha thinguva aena maadithae,odha thinguva aena maadithae
620,tell me if you dont want to come,baputhu mudiyati aegi budivi,baputhalae ninnaga aegu
621,i will definetely buy this for you,ninnaga na kandipa esi thannae,ninnaga na kandipa esi thannae
622,who called me,aennava dhara korchithuru,aennava dhara korchithubuttae
623,your house is too small,ninga mannae appara kunnuthu,ninga mannae appara kunnuthu
624,tell me a story,ondhu kadhae aegu,ondhu kadhae aegu
625,my socks is missing,aenna maejoodu kaenae thava,aenna maejoodu kaenae thava
626,i have twenty rupees,aenna sarae eppathu uripi hadathae,aenna sarae eppathu uripi hadathae
627,what is the price for tomatto,dhomba balae aesaga,dhomba balae aesaga
628,which standard are you studying,nee aesavathu katharae,nee aesavathu kathanae
629,where is this hospital located,ei haspithiri aelliya hadathae,ei haspithiri aelliya hadathae
630,bus should come fast,bandi manakana bantharae sari,bandi manakana bantharae sari
631,we should teach them all this,nanga tha edhu aellava aegi kodathu,nanga tha edhu aellava aegi kodathu
632,come to the ground we will play,hattnae ga ba nalaba,hattnae ga ba nalaba
633,badaga old songs will be too good,badaga palaya paatu aella ennu sooka attra,badaga palaya paatu aella ennu sooka attra
634,we should drink milk daily,haalu jaennagu kuduputhu,haalu jaennagu kuduputhu
635,i have ten lakhs,aenna sarae hathu lacha hadathae,aenna sarae hathu lacha hadathae
636,tear the dress,battae ya keeru,battae ya keeru
637,here it smells very bad,elliya appara vaasaenae banthara,elliya appara vaasaenae banthara
638,did you sleep well,orruku ollenge banthutha,orruku ollenge banthutha
639,you should study well,nee ollenge kaputhu,nee ollenge kaaputhu
640,this paper is so important,ei kaagitha appara mukkiya,ei kaagitha appara mukkiya
641,i have ninty one rupees,aenna sarae thombathi ondhu uripi hadathae,aenna sarae thombathi ondhu uripi hadathae
642,we should always smile while talking,aeguvavu negathu baasae haadu,aeguvavu negathu baasae haadu
643,my brother has one dog,aenna anna na sarae ondhu nae hadathae,aenna anna na sarae ondhu nae hadathae
644,why didnt you call me,nee aennava aeka korchulae,nee aeka korchulae
645,tell me one good name,ondhu olliya hesaru aegu,ondhu olliya hesaru aegu
646,you need a good heart to be happy,santhoshava ebbuthuga olli manasu attrae podhu,santhoshava ebbuthuga olli manasu attrae podhu
647,is your village is a big,ninga hatti appara thoda hatti ya,ninga hatti appara thoda hatti ya
648,what to do now,aena maaduthu ega,aena maaduthu ega
649,how are you,nee aethae edhdhae,nee aethae edhdhae
650,i dont have any salary,aennaga sambuva aella ondhu ellae,aennaga sambuva aella ondhu ellae
651,how would i forgot you,na ninnava aethae gaena buttanae,na ninnava aethae gaena buttanae
652,when did you come,aeguva banthae nee,aeguva banthae nee
653,is it raining,mae oodharava,mae oodharava
654,bring the scissors,kathiri kool athi ba,kathiri kool athi ba
655,i think you dont know him,nee hamana ariyarae maka,nee hamana ariyarae maadiyarae
656,i can ask him,na baekara hamana sarae kaethanae,na baekara hamana sarae kaethanae
657,he doesnt want anything,hamaga ondhu baeda,hamaga ondhu baeda
658,bring the needle and thread,sunji nool athi ba,sunji nool athi ba
659,we have one black cow,aenga sarae ondhu kappu dhana hadathae,aenga sarae ondhu kappu dhana hadathae
660,already its too late,egavae appara jaama aipta thava,egavae appara jaama aipta thava
661,they came,havaka banthu buttru,havaka banthu buttru
662,today is your village festival,ninga hatti ya endhdhu habba va,endhdhu tha nanga hatti habba
663,do you have work tommorrow,naaiga gelcha hadathaya,naaiga gelcha hadathaya
664,take the vechile we will go somewhere,bandi aethu aelliyachi oppa,bandi aethu aelliyachi oppa
665,dont do naughty things,appara thimuru maada baeda,appara maada baeda
666,what are you doing,aena maadirae,aena maadirae
667,they are good peoples,evaka olliyavaka,evaka olliyavaka
668,i dont have rice,kuu ellae,kuu ellae
669,nobody is coming,dhaaru baputhu ellae,dhaaru baputhu ellae
670,its time go home quickly,jaama aipta manakana manaega ogu,jaama aipta manakana manakana ogu
671,tomorrow is wednesday,naaiga bodhavaara jaenna,naaiga bodhavaara jaenna
672,i have thousand and sixty six rupees,aenna sarae saavirtha haravathi haaru uripi hadathae,aenna sarae saavirtha haravathi haaru uripi hadathae
673,dont learn for blindly,buruvae oodha kudathu,buruvae oodha kudathu
674,dont be scared,hanjathae eru,hanjathae eru
675,will he go,hama onnava,emma onnava
676,you started again,haramichibutaya nee thiriki,haramichibutaya nee thiriki
677,i have sixty three rupees,aenna sarae haravathi mooru uripi hadathae,aenna sarae haravathi mooru uripi hadathae
678,i should work,gelcha maadinae,gelcha maadinae
679,i have eighty two rupees,aenna sarae eambathi aeradu uripi hadathae,aenna sarae eambathi aeradu uripi hadathae
680,this chips is very nice,ei muruku ollenge hadathae,ei muruku ollenge hadathae
681,dont repeat this ever again,eni maellae ethae maka maadirae hasagatha nee,eni maellae ethae maka maadirae hasagatha nee
682,nobody is good as him,emmana maakae koosu dharu ellae,emmana maakae dhaaru koosu ellae
683,are you scared,hanjikae bantharava,hanjikae edhdharaya
684,need to buy a new slippers,osa mettu ondhu esothu,osa mettu ondhu esothu
685,why are you telling like this,aeka ethae aegirae,aeka da ethae maadirae
686,i wont tell anything,edhuga maelae na ondhu aegarae,na ondhu aella ondhu aegarae
687,he use a lot of blame words while speaking,ema appara hollatha baasae hadina,ema appara baasae hadina baasae hadina
688,he likes simbu,emaga simbu tha edathara,emaga simbu tha edathara
689,dont mug it up,manapaada maada beda,manapaada maada beda
690,i will send you that one,na ninnaga adhuna kaeginae,na ninnaga adhuna kaeginae
691,next year i am going to buy a vechile,na hadatha varusa ondhu bandi esinae,na hadatha varusa ondhu bandi esinae
692,i having liitle trouble,na siti kasta thogae edhae,na siti kasta thogae edhdhae
